basepk,topic,category,procedural_score,error_x,error_y
2209648,combating cigarette smoking and nicotine addiction,Social Policy,0.0,,
2209661,NATO air training advisory group visit,Foreign Affairs & Defence,0.0,,
2209744,federal lime subsidy payments,Agriculture & Natural Resources,0.0,,
2209911,hospital construction timeline,Social Policy,0.25,,
2209942,Canadian university service overseas financial support,Foreign Affairs & Defence,0.0,,
2209967,establishment of department of industry and provincial jurisdiction,Trade & Industry,0.25,,
2209969,order of business,Parliamentary Affairs,0.75,,
2210069,winter house construction bonus,Social Policy,0.0,,
2210094,unclear,Parliamentary Affairs,1.0,,
2210113,emergency drought relief for cattle industry,Agriculture & Natural Resources,0.0,,
2210119,Trans-Canada Highway Act amendments,Intergovernmental & Constitutional Affairs,0.0,,
2210219,revolving fund for municipal services,Intergovernmental & Constitutional Affairs,0.0,,
2210238,budget debate timing,Parliamentary Affairs,0.5,,
2210276,Canadian National Railways yard operations,Trade & Industry,0.0,,
2210364,legal services for Central Mortgage and Housing Corporation,Government Operations & Ethics,0.0,,
2210455,production of railway documents,Parliamentary Affairs,0.75,,
2210459,housing purchase tax exemption,Economic & Fiscal Policy,0.0,,
2210526,Canadair employee resignation and security status,Government Operations & Ethics,0.0,,
2210551,NORAD air defence agreement details,Foreign Affairs & Defence,0.0,,
2210661,Suffield research station grazing land,Agriculture & Natural Resources,0.0,,
2210750,UN peacekeeping force cost sharing,Foreign Affairs & Defence,0.0,,
2210773,government policy on smoking and cancer,Social Policy,0.0,,
2210813,strawberry pickers for Vancouver island,Agriculture & Natural Resources,0.0,,
2210830,penitentiary construction at Drumheller,Government Operations & Ethics,0.0,,
2210844,federal municipal loan fund legislation,Intergovernmental & Constitutional Affairs,0.0,,
2210898,Alberta crude petroleum export quotas,Agriculture & Natural Resources,0.25,,
2210910,sugar beet support program,Agriculture & Natural Resources,0.0,,
2210914,national park on Long Point island,Agriculture & Natural Resources,0.0,,
2210981,agricultural exports,Agriculture & Natural Resources,0.0,,
2210988,grain handling and branch line rationalization,Agriculture & Natural Resources,0.25,,
2210990,representations to Minister of Transport,Government Operations & Ethics,0.5,,
2211034,revenue and expenditure estimates,Economic & Fiscal Policy,0.25,,
2211847,overhaul work on R.C.A.F. aircraft,Foreign Affairs & Defence,0.0,,
2211854,sales tax on building materials,Economic & Fiscal Policy,0.0,,
2211958,abandonment of Saskatchewan railway lines,Intergovernmental & Constitutional Affairs,0.25,,
2212012,congratulations to Speaker and Chairman,Parliamentary Affairs,1.0,,
2212026,municipal loan fund proposals,Intergovernmental & Constitutional Affairs,0.25,,
2212036,debate on resolution before committee,Parliamentary Affairs,0.75,,
2212049,motion concurrence in suggestions,Parliamentary Affairs,0.5,,
2212062,ministerial responsibility for budget preparation,Government Operations & Ethics,0.1,,
2212066,parliamentary procedure,Parliamentary Affairs,0.75,,
2212097,budget debate procedure,Parliamentary Affairs,0.5,,
2212135,budget secrecy and leak of budget document,Government Operations & Ethics,0.75,,
2212149,question of privilege,Parliamentary Affairs,0.75,,
2212214,warden's court statistics,"Justice, Rights & Immigration",0.0,,
2212250,acting appointments in civil service,Government Operations & Ethics,0.0,,
2212271,Moose Jaw airport civilian aircraft facilities,Trade & Industry,0.0,,
2212277,ARDA projects in Saskatchewan,Agriculture & Natural Resources,0.0,,
2212279,unemployment insurance fund contributions and benefits,Social Policy,0.0,,
2212286,provincial ministers of labour attendance at ILO conference,Foreign Affairs & Defence,0.0,,
2212305,Kingston road post office outlet,Government Operations & Ethics,0.0,,
2212363,medical officer for D.E.W. line,Foreign Affairs & Defence,0.0,,
2212371,defence production contracts,Trade & Industry,0.0,,
2212380,CBC television outlet in Newfoundland,Trade & Industry,0.0,,
2212381,question of order on question paper scope,Parliamentary Affairs,0.75,,
2212435,budget debate procedure,Parliamentary Affairs,0.5,,
2212464,urgency of parliamentary debate,Parliamentary Affairs,0.75,,
2212471,budget debate scheduling,Parliamentary Affairs,0.75,,
2212539,consultants for budget preparation,Government Operations & Ethics,0.25,,
2212553,federal sales tax on building materials,Economic & Fiscal Policy,0.25,,
2212580,labour dispute resolution services,Social Policy,0.25,,
2212624,increase family allowances and extend eligibility,Social Policy,0.0,,
2212659,RCMP use of strikebound airline,"Justice, Rights & Immigration",0.25,,
2212698,government inquiry efficiency,Government Operations & Ethics,0.75,,
2212747,bill amendment process,Parliamentary Affairs,0.5,,
2212801,sales tax rebates for pre-existing contracts,Economic & Fiscal Policy,0.25,,
2212812,securities tax protest,Economic & Fiscal Policy,0.25,,
2212960,meeting on British Columbia highway problems,Intergovernmental & Constitutional Affairs,0.0,,
2213051,Canadian ownership of corporations,Trade & Industry,0.25,,
2213053,Canadian control of financial institutions,Trade & Industry,0.25,,
2213076,Atlantic Development Board Act funding and structure,Intergovernmental & Constitutional Affairs,0.25,,
2213096,Atlantic Development Board Act funding,Intergovernmental & Constitutional Affairs,0.25,,
2213112,Atlantic Development Board Act amendments,Intergovernmental & Constitutional Affairs,0.1,,
2213131,Industrial Estates and economic development,Trade & Industry,0.25,,
2213156,appointments to Atlantic development board,Intergovernmental & Constitutional Affairs,0.25,,
2213164,investigation of public funds expenditure,Government Operations & Ethics,0.0,,
2213221,post office property purchase at Manotick,Government Operations & Ethics,0.0,,
2213282,improvements to aids to navigation in Manitoba lakes,Agriculture & Natural Resources,0.0,,
2213339,tabling of fisheries department officials,Agriculture & Natural Resources,0.75,,
2213341,North Pacific high seas fisheries delegation expenses,Foreign Affairs & Defence,0.0,,
2213407,executive assistant qualifications,Government Operations & Ethics,0.0,,
2213418,national accounts and income statistics,Economic & Fiscal Policy,0.0,,
2213454,budget debate delay,Parliamentary Affairs,0.75,,
2213469,question of privilege regarding Secretary of State's statement,Parliamentary Affairs,0.75,,
2213496,exhibition details,Trade & Industry,0.25,,
2213614,sales tax on prefabricated homes,Economic & Fiscal Policy,0.0,,
2213663,pension legislation and government agenda,Social Policy,0.25,,
2213708,point of order regarding member conduct,Parliamentary Affairs,0.75,,
2214095,suspension of 30% tax on securities,Economic & Fiscal Policy,0.0,,
2214114,take-over tax consultation,Economic & Fiscal Policy,0.25,,
2214158,sales tax on ready-mix transit companies,Economic & Fiscal Policy,0.0,,
2214188,world's fair construction projects,Economic & Fiscal Policy,0.0,,
2214224,committee of inquiry into Kierans visit,Government Operations & Ethics,0.5,,
2214241,question of privilege,Parliamentary Affairs,0.75,,
2214247,oath of secrecy for ministerial visitors,Government Operations & Ethics,0.25,,
2214277,treaty ratification and external affairs committee,Foreign Affairs & Defence,0.25,,
2214332,fund resources to meet obligations,Economic & Fiscal Policy,0.0,,
2214380,national debt and monetary policy,Economic & Fiscal Policy,0.25,,
2214405,Canada's 12-mile fishing limit,Agriculture & Natural Resources,0.1,,
2214430,budget and housing policy,Economic & Fiscal Policy,0.25,,
2214443,securities tax and foreign ownership,Economic & Fiscal Policy,0.25,,
2214458,federal-provincial relations and secretariats,Intergovernmental & Constitutional Affairs,0.25,,
2214484,Canada pension plan and old age security,Social Policy,0.0,,
2214508,inquiry into budget trading patterns,Economic & Fiscal Policy,0.25,,
2214514,Excise Tax Act resolutions,Economic & Fiscal Policy,0.25,,
2214604,question of privilege,Parliamentary Affairs,1.0,,
2214654,sales tax on building materials,Economic & Fiscal Policy,0.0,,
2214681,preference for Canadian defence contractors,Foreign Affairs & Defence,0.0,,
2214870,inmate time served and parole violations statistics,"Justice, Rights & Immigration",0.0,,
2214944,feed grain freight assistance policy,Agriculture & Natural Resources,0.0,,
2215017,question of privilege,Parliamentary Affairs,1.0,,
2215092,Laos international commission for supervision,Foreign Affairs & Defence,0.25,,
2215161,budget proposals and consideration of amendments,Economic & Fiscal Policy,0.25,,
2215182,income tax deductions for seniors,Social Policy,0.25,,
2215184,pension plan savings and investment in risk ventures,Social Policy,0.1,,
2215198,budget deficit and tax policy,Economic & Fiscal Policy,0.25,,
2215284,veterinary college financial contribution,Social Policy,0.0,,
2215302,ministerial question about budget,Parliamentary Affairs,0.75,,
2215341,industry consultations and regulations,Trade & Industry,0.25,,
2215465,commission on biculturalism appointments,Government Operations & Ethics,0.0,,
2215472,Canada's military aid to Portugal,Foreign Affairs & Defence,0.0,,
2215476,French naval forces withdrawal from NATO,Foreign Affairs & Defence,0.0,,
2215503,RCMP constables and provincial jurisdiction,"Justice, Rights & Immigration",0.25,,
2215552,debate on specific charge,Parliamentary Affairs,0.75,,
2215555,non-confidence motion voting procedure,Parliamentary Affairs,0.75,,
2215625,company name change and French language use,Trade & Industry,0.25,,
2215664,adding French version to company name,Trade & Industry,0.0,,
2215703,federalism and provincial jurisdiction in budget,Intergovernmental & Constitutional Affairs,0.25,,
2215836,executive assistant appointment to Minister of Forestry,Government Operations & Ethics,0.0,,
2215847,winter works program payments in St. Hyacinthe-Bagot,Economic & Fiscal Policy,0.0,,
2215871,hospital orderly and laboratory helper job descriptions,Social Policy,0.0,,
2215928,motion for adjournment under standing order 26,Parliamentary Affairs,0.75,,
2216055,release of information on nuclear ammunition dumps,Foreign Affairs & Defence,0.25,,
2216065,ministerial statement propriety,Parliamentary Affairs,0.75,,
2216083,federal aid to municipalities,Intergovernmental & Constitutional Affairs,0.25,,
2216087,Quebec withdrawal from electric power programs,Intergovernmental & Constitutional Affairs,0.0,,
2216110,veterinary college funding,Social Policy,0.0,,
2216278,national parks and recreation policy,Agriculture & Natural Resources,0.0,,
2216350,budget resolutions and tax uncertainty,Economic & Fiscal Policy,0.5,,
2216366,inquiries of the ministry,Parliamentary Affairs,0.75,,
2216391,statement contradiction,Parliamentary Affairs,0.5,,
2216394,staffing of the distant early warning line,Foreign Affairs & Defence,0.0,,
2216407,O'Leary commission under government consideration,Government Operations & Ethics,0.25,,
2216475,uranium mine production loans,Agriculture & Natural Resources,0.25,,
2216510,labour dispute intervention,Parliamentary Affairs,0.25,,
