It should be the primary condition of all legislation throughout the British Empire to have the law not repugnant to the law of England. We have ample precedents for interpretation. It is easy to find a decision when we go to the English courts, because there has been the long trend of ages wherein interpretations have been made by the greatest lawyers of England. I say, Sir, it should be the primary condition of all legislation throughout the British Empire to have the law not repugnant to the law of England, save in so far as changes by statute are necessary from time to time in order to meet conditions obtaining in particular sections of one of the constituent parts of the empire. It is accepted that the first settlers brought to Canada. were bound by all the principles of the common law of England which were applicable to our situation at the beginning as a daughter nation of the British Empire, but they brought with them none of the English statute law save that which was made expressly applicable to their situation as a colony. If the principles of the English common law obtain in the greater portion of the British Empire, then is it not meet and proper that a final court of appeal be constituted so as to apply the general principles of the common and the statute law and thus have its decisions uniform? Moreover in the interpretation of a statute of great importance it would seem to be in the best interests of every portion of the empire to have a uniform interpretation of the phraseology or words of statutory enactments.
As citizens of the British Empire it is doubtful whether or not it would be in the best interests of the people to endeavour by any legislative enactments to take away, or to any great extent circumscribe, the right to an appeal to the Sovereign in Council, which is practically an appeal to the Judicial Com-19i
mittee of the Privy Council. The sovereign is said to be the fountain of justice and is constitutionally empowered to receive petitions and appeals from all his dominions and possessions, both in the Old Land and in the new, upon such regulations and conditions as may be defined by the authority of the Crown in Council. The petitions for appeal are referred to the consideration of the Judicial Committee of the Privy Council, upon whose report the decision of the sovereign is presumed to be pronounced. The Judicial Committee of the Privy Council could not, and is not permitted to, advise upon questions of general or political policy, for that is the special province of the cabinet council. Neither does it undertake to advise in criminal matters where no appeal to the Privy Council is allowed by law.
The statement that the appellate jurisdiction of the King in Council is retained for the benefit of the inhabitants of the British dominions beyond the seas, not for that of the Mother Country, cannot be gainsaid.
It secures to every British subject the right to demand redress of grievances from the throne.
When certain cases do not fall within the jurisdiction of ordinary courts of justice it provides a remedy.
It removes the influence of local prepossessions.
It is a great means of maintaining the uniformity of the law of England and those portions of the empire which derive their common law from Great Britain.
It enables suitors, if they so desire, to obtain a decision from a court which is the court of last resort so far as the British dominions are concerned, which said court is constituted of the highest judicial authority and legal capacity existing in the empire.
It is a controlling power over every judge in the empire, because he knows that his decisions are liable to be reviewed by it. Moreover, the great bulk of people in the Dominion of Canada have never exhibited a strong desire to part with the right of appeal from our courts to the king in council.
It has become the sole remaining power exercised through the crown over the British dominions.
We have ample power to establish, to abolish and to reconstitute courts of judicature and to provide for the administration of justice, but if a litigant's case is just, he should not fear its submission to a court such as is the Judicial Committee of the Privy Council.
The chief reason for the advocation of doing away with the appeal to the Judicial Committee of the Privy Council seems to
B. N. A. Act Amendment

have arisen in connection with the case of the Toronto Electric Commissioner vs Colin G. Snider and others in which the Attorney General for Canada and the Attorney General of Ontario intervened. This was an appeal taken from the decision of the Appellate Division of the High Court of Justice for the province of Ontario which, in effect, was an appeal from a judgment of Mr. Justice Mowat and Mr. Justice Orde. Briefly, the whole case had to do with and turned upon the constitutionality of the Dominion Industrial Disputes Investigation Act of 1907, 6 and 7 Edward VII, chapter 20. Mr. Justice Orde, in his judgment on an application for inj miction, gave a decision declaring the Industrial Disputes Act to be ultra vires of the Parliament of Canada, as it was an interference with property or civil rights within his province and as such was an infringement of Clause 13 of section 92 of the British North America Act, which section sets forth the exclusive legislative powers conferred upon provincial legislatures.
It is well known that section 91 of the British North America Act contains twenty-nine clauses wherein the matters which the federal parliament can exclusively legislate upon are set out. Section 92 contains sixteen clauses wherein the matters which can [DOT] be exclusively legislated upon by provincial legislatures are set out.	There is also a
general clause under Section 91 of the British North America Act which is termed a non obstante clause, wherein authority is given to the federal parliament to legislate upon all matters not exclusively given to the provincial legislatures. It has been urged by some that this non obstante clause, or the general clause, the peace, order and good government clause; gives to the Parliament of Canada authority to pass legislation infringing upon provincial rights, even though the provincial authorities have under section 92 exclusive authority. But decisions of the Privy Council have in many cases held that this general clause can only confer jurisdiction upon the federal parliament where one of the twenty-nine clauses of section 91 is in direct conflict with one of the sixteen clauses of section 92 of the British North America Act. Otherwise the clauses of section 92 mean absolutely what they say, and in so far as any right to legislate upon any particular matter can be dealt with under section 92 it cannot be interfered with by the federal parliament.
Now, Sir, so much for that. That is exactly what occurred in connection with the matter of the Industrial Disputes Investigation Act. Learned judges in Ontario held certain things;
(Mr. Martell.]
they were not unanimous, therefore it was well that it was possible to get away from any court which might have prepossessions in the matter and get the interpretation of a court quite removed from local influences, quite removed from any pressure that might otherwise be brought to bear upon it-though I do not wish to say that pressure can very well be brought upon our courts. The method of interpretation of the British North America Act has been said by the learned law lords to be as simple a method of interpretation as would be applied to an ordinary statute. The same thing may be said as regards the constitution of the Senate. I submit to the hon. member for South York that neither he nor any other person in the Dominion of Canada has the right to interfere with the constitution of the Canadian Senate unless the provinces are first consulted and their unanimous consent obtained to an amendment. The method of appointment of senators in Canada is fixed by the British North America Act and cannot be changed or interfered with in any way without the consent of all the constituents. which went to make up our charter, the British North America Act.
The cursory review which I have made in regard to the appeal to the Judicial Committee of the Privy Council applies, as I have already said, to the Senate of Canada. The government of the day, in its far-reaching, excellent and comprehensive Speech from the Throne, admits as regards the Senate that an agreement with the provinces must be had before an amendment can be made. I am afraid that if the hon. member for South York had the opportunity of laying unholy hands upon it, the appeal to the Privy Council would be abolished. In fact, his resolution is simply a subterfuge to get away from this appeal to the Judicial Committee of the Privy Council. I am not, Sir, imputing to my hon. friend the mover of the resolution any sinister object-beyond that one little object I have just mentioned. But when I hear of any person asking for the abolition of the right of appeal to the Judicial Committee of the Privy Council, I feel that it is an attempt to break away from the British connection, for the tossing buoy betrays where the anchor is hidden.
May I say in conclusion:	Let us not be
prone to sing discordant misereres against the links in the chain which bind us to the empire, for be .they of law or of sentiment, they are well forged by laws of liberty for all, and equality for all; and above all, by the law of sentiment which is sadly needed by lesser breeds without law. A3 British subjects we are citizens of no mean country,

B. N. A. Act Amendment
and from the rising of the sun until the going down thereof let us devote our energies to the upbuilding of our country, along great commercial lines, relying upon the fact that no coercive measure shall ever be applied against us by the Mother of Parliaments, and that Canada as the leading daughter in the galaxy of nations that will forever surround the British throne will always as a glorious Te Deum hymn:
Whilst the language Whilst the arts That mould a nation's soul Still cling around our hearts,
And between let oceans roll,
Our joint communion with the sun But still from either beach The voice of blood shall reach More audible than speech "" We are one!""

",,,Mr.   MAOLEAN@York,
726178,ca.proc.d.1925-02-19.13.1.1.13,1925-02-19,7220c8bb-644f-4214-b7d2-63a27895aa9f,ca.m.3621,Mr. RENE MORIN (St. Hyaeinthe-Rou-ville):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING,AMENDMENTS,"Mr. Speaker, I am in accord with the mover of this resolution (Mr. Maclean, York), as to the necessity for Canada's obtaining the right to amend her constitution, but I differ from him as to the procedure which he suggests for that purpose. I have already claimed in this House that since confederation our status had been considerably altered, but it is not my intention on this occasion to retrace at any length the developments which have occurred.
Let me state, at first, that since confederation our constitution has only been amended, at our request, and to suit our purposes, and now we may safely assert that from a constitutional point of view the Imperial parliament would never think of altering our constitution except as we so demand, and that practically the Imperial parliament has lost that right. But satisfactory as this method may be in practice, it no longer conforms to our present standing.
The equality of our status with that of any part of the British Empire has already been proclaimed on many occasions, not only by Canadians, but by most of the prominent public men of Great Britain. Canada is now a member of the League of Nations and holds therein the same standing, the same rights, as fully sovereign nations. She has in the assembly of the league her own representatives enjoying all the rights of any of the other members. In the treaty of Versailles Canada appears as a unit, separate from that of Great Britain, though under the same king. She now negotiates alone her commercial treaties with foreign nations, and she signs these treaties by her own representatives, acting in the name of the King, but having received their full powers from him at the
instance and under the direction of the Canadian cabinet. AH these prerogatives are now fully acknowledged as belonging to us, but they are incompatible with the control which Great Britain can, theoretically, and in the eyes of foreign nations, exercise over us if she is the superior authority or the power which alone has the right to alter our constitution. Moreover, Australia, Sooth Africa and Ireland, now enjoy the right to amend their constitution, and Canada cannot continue to occupy the inferior itank of the dominion which is not empowered to exercise the rights which belong to the other dominions.
For these reasons it is necessary that we should take steps to obtain the right of altering our constitution by an internal pioeedure entirely under our control.
But the constitution of Canada has a special feature; it is the result of a pact between the different provinces of Canada; it has this character, at least for the four original members of the confederation. For these four provinces it is a covenant or agreement, and it follows that no amendment or alteration of importance can be made to this covenant without the participation and consent of the parties to it. The other provinces which came in later entered this covenant of their own free wild, and they should be entitled to the same privileges as the original members. It follows that no alteration of an important character can be made to the British North America Act, our constitution, unless it meets with the approval of the provinces which compose the confederation.
This conventional character of our constitution was also a feature of that of the Commonwealth of Australia, and if you refer to its constitution you will find that the right to alter the constitution has been surrounded by a number of protective measures, which preserve adequately the rights of each of the states which compose the commonwealth. The alteration of its constitution is made by a law, passed by an absolute majority in each of the two houses of parliament, and submitted to the electors qualified to vote for the election of members of the house of representatives, in each of the different states of the confederation, and this amendment comes into force if approved by the majority of the states and by the majority of all the electors who voted. It provides also, that in case of disagreement between the two houses of parliament, the Governor General may submit to the electora any proposed amendment passed twice after an interval of at least three months by any one of these houses.
B. N. A. Act Amendment

In Australia, as in Canada, there are some fundamental rights which must be preserved with yet more care. We would hold here as sacred rights:	The territorial limits of the
provinces:	The proportion of representation
of each province:	The rights which are attributed by the British North America Act to the provinces, particularly in matters of education:	The privileges of minorities; and
some others.
In Australia no alteration to the constitution which may in any way affect any of the rights which are considered fundamental can come into force as to each separate state unless it has received the approval of the majority of the electors in that state. So in Canada, our constitution should be so drafted that any alteration, which might affect some of these fundamental rights should necessarily receive the approval of the legislature of each province to which it may apply.
For these reasons, though I am in favour of the principle of the resolution, I cannot accept it as drafted, and I must register my vote against it. Moreover, I submit that any attempt to obtain the right to amend our constitution must be the subject of a conference between the provinces, and must meet *with the approval of each of the component parts of Canada.

",Liberal,,Louis-Simon-René Morin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=7220c8bb-644f-4214-b7d2-63a27895aa9f&Language=E&Section=ALL
726179,ca.proc.d.1925-02-19.13.1.1.14,1925-02-19,b4773d7c-fb30-477a-9d14-c076e60905ac,ca.m.9274,Mr. T. L. CHURCH (North Toronto):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING,AMENDMENTS,"Mr. Speaker, I rise in opposition to this resolution. I believe there is no demand for this legislation. Furthermore, I believe that if this legislature did have the power that is asked for here, it would sound the death knell in this country of the basis of confederation; it would sound the death knell of minorities; it would sound the death knell of provincial rights, and more especially of municipal rights, and we must remember that there has been a very large investment by municipalities from coast to coast throughout this country in public utilities. Now, there is no demand for this legislation; nobody is asking for it. I am an Irishman but I should be sorry to see thi3 country with a constitution such as Ireland has to-day. They have the right over there to make and unmake their constitution. What does the resolution of my hon. friend ask for:
The parliament of the Dominion may amend the said British North America Act when it may see fit to do so.
Under suoh provision as that would not this parliament have the right to deprive the provinces of the powers which they at present enjoy under section 92 of the British North America Act? Is it proposed that this Dominion should be able to brush aside with a

wave of the hand, the constitutional rights of the provinces and municipalities throughout this country? Let me give an illustration of what I mean. The municipalities and provinces in many cases are doing more to solve practical problems than is this parliament. The other day the leader of this government stated that the Dominion had nothing to do with the question of unemployment under the British North America Act. At present the control of the banking institutions of the country, of immigration, of transportation, of the tariff, and of the right to enter into international agreements, is vested in this parliament, and it ought to relieve the provinces and the municipalities of the problem of caring for unemployment. I am very much surprised that the hon. member for South York (Mr. Maclean), an advocate of public ownership as he is, in view of the fact that the city of Toronto from which he comes has made an investment of $125,000,000 in light, power, and transportation; in view of the fact that his constituency has been beneficially affected by these enterprises, should' move such a resolution as this. Because, if the amendment to the British North America Act which he proposes had been in operation in Canada, there would have been no such developments in connection with light, power and transportation as have taken place in Ontario. The power to build, run and control these utilities would be usurped and interfered with by the Dominion and it would be possible for the Dominion by interference to wipe them out in the twinkling of an eye.
My hon. friend (Mr. Maclean, York) wants to know whether Canada is a sovereign state, whether it is a nation, and whether we can make and unmake our own constitution. No, Canada is not a sovereign state, and it is a good thing that it is not. Notwithstanding the fact that we have the right to sign halibut treaties, and other treaties, we are not a sovereign state. We are a nation in name only. We are dependent-just as is Australia to which dominion my hon. friend ascribed the possession of so much power-on the fleet of the Mother Country. Here we are talking about an amendment to the British North America Act, and in time of trouble we are the first to look to the old Motherland across the seas for protection and for the maintenance of the maritime freedom which we enjoy. And notwithstanding this protection we are content to sponge on the hard earnings of the British taxpayer for our maritime freedom without doing anything to relieve him of the burden. In this respect we are unlike the Commonwealth of Australia. What is their

B. N. A. Act Amendment
attitude in this matter? They have a fleet of their own and contribute to maritime freedom. Let me quote from wtiat the Prime Minister of Australia, Right Hon. S. M. Bruce, said as reported in volume 5, number 4, Journal of the Parliaments of the Empire, issued in October, 1924:
At no time throughout her history had Australia been in a position to provide for her own national defence. To-day, as in the past, they were dependent upon the protection afforded to them by Great Britain. They had to recognize that fact. It was useless for anybody to maintain that if they were an independent nation, with no connection with the British Empire, they would be in a position to protect themselves. The certainty that they could not defend themselves would be a considerable incentive to any country to take action against them. They had the most wonderful unprotected white man's country in the world, with only five and a half to six millions of people inhabiting it. Looking round the world, however, they saw teeming millions in other countries, and knowing the rate at which their populations were increasing, they in Australia recognized the difficulties with which those countries were faced in finding an outlet for their people. "" Few of us "" said Mr. Bruce, "" fail to recognize that Australia, undefended, would be a great temptation to any country."" We all subscribe to the "" White Australia "" quality, which we say shall never, under any circumstances be abandoned. We intend to keep this country white and not allow its people to be faced with the problems that at present are practically insoluble in many other parts of the world. . . . It is true that, in the past, our right to assert this policy has never been seriously challenged, but it has enjoyed immunity from challenge because we are part of the British Empire, and have had the whole force of Britain behind us throughout our history.
I am afraid there is altogether too much talk in this country with respect to abolishing appeals to the Privy Council which is calculated to have the effect of weakening the ties which unite us to the Mother Country. I am afraid that legislation such as is proposed here would make it possible to encroach upon provincial rights, and in the case of the province of Ontario reduce to scrap many valuable public undertakings. In a word it would be possible to reduce the provincial legislature and the municipalities of a province to the mere status of a county council. The highest judicial court in the empire recently gave a judgment on the Industrial Disputes Investigation Act holding matters wholly provincial in their scope and activity and affecting property and civil rights, employer and employee, as matters for the provinces and not for the Dominion under trade and commerce. I do not wish to criticise the judgment of the Ontario court of appeal, I would not say anything derogatory with respect to it; but I must express the opinion that the judgment of the Privy Council removed one of the most deadly menaces to provincial rights in affirming that the provincial court of appeal was wrong in upholding, as it did, the Industrial Disputes Act. That law was held to be a
bad piece of legislation by the Dominion by the highest court in the British Empire. On the other hand the judgment of the Ontario court of appeal would have absolutely destroyed provincial and municipal rights which we have enjoyed since the British North America Act first came into force. That judgment of the Ontario court of appeal has been upset by the highest court in the realm. This decision will stand for all time as a shining example of how the Privy Council protects 1he rights of minorities and provincial and municipal rights as well when threatened by the Dominion. We have had many statutes enacted by the Dominion tending to invade the provincial field. We have had the Combines Act which was more ornamental than useful. Since that act was enacted I am not aware that there has been a single prosecution instituted successfully under it.
Reverting to Australia, I may say that the commonwealth has appreciated its position much better than Canada has, and has established a fleet to protect its shores. According to the report of the Canadian Minister of National Defence Canada's expenditure on defence is only $1.46 per head of the population. Great Britain's expenditure for this purpose is $23.04; while Australia pays $3.30. If we are a nation, and this resolution passes, I suppose we should have the right to go to war, with the toy navy which we now have. The only thing this parliament appears to be ready to declare war on is on the rights of the provinces. That very clearly is what was done when the Industrial Disputes Investigation Act was enacted.
In the Old Country the press has been discussing the resolution of my hon. friend, and among others the Manchester Guardian. Well, I do not think there is any newspaper in the British Empire which knows less of Canadian affairs than the Manchester Guardian. In the present instance it is sympathetic towards the abolition of appeals to the Privy Council which would weaken the ties which unite Canada to the Motherland, because the Privy Council to-dfey is one of the remaining links binding Canada to the Mother Country. I think we are doing altogether too much to weaken the ties and relations between Canada and the Motherland.
It is said we can make our own treaties. I hope the day is far distant when Canada will be making its own treaties, because I think the treaties which are made by the Mother Country for Canada stand out by themselves and are beneficial to Canada. It is said we should have a Canadian ambassador at Washington. I may say I am opposed to that.
B. N. A. Act Amendment

That is another way of weakening the ties which bind Canada to the Mother Country, and is not in keeping with the spirit of the British North America Act which is one of the remaining links which 'bind together Canada and the Old Land. Some people want to abolish the offices of Governor General and Lieutenant Governor. I hope these offices will not be abolished, because they are two of the few remaining links which bind Canada to tihe Motherland.
Before any resolution of this character is passed by parliament I think the provinces should be consulted. The provinces are a part >of confederation. Under the British North America Act, sections 91 and 92, they have been given a written constitution and they should be consulted before any change is made in the act. Before we make 'any such change we should have a vote of the people, and no one is asking for a vote that I know of, or any change in the act as it stands to-day. As a matter of fact, Mr. Speaker, we are living in an age in which changes to our constitution will have the effect of weakening the ties which bind Canada to the Motherland. Many prohibitory laws are being passed. We seem to be living in an age when prohibitory legislation is a fad, too many prohibitory laws are being passed, and I think there is too much tinkering with the constitution. Nowadays people seem anxious to discipline their neighbours, but do not want to discipline themselves.
One of the reasons for the present resolution was the decision given in the Privy Council in the appeal of the Toronto Hydro-Electric Commissioners in a case involving a labour dispute, and it is held by some that the judgment declares the whole Industrial Disputes Investigation Act ultra vires of the Dominion parliament. I say that as far as that act dealt with Dominion matters, as long as it stayed within its own field and looked after the federal field and the rights of Dominion employees, it was all very well and proper. As long as the act was kept in its own federal sphere and 'applied it to the subject for which it was intended' under section 91 of the British North America Act-that is works declared to be for the general advantage of Canada, which came under the jurisdiction of this parliament, such as Post Office employees, railway employees and federal employees- it was perfectly valid. So far as that act went I believe it did some good work, although it has not been a success in some other ways.
The bill was framed by the hon. presiding officer of this chamber (Mr. Lemieux) a gentleman who has been a long time in public

life in this country, and who has all his life done a great deal to promote provincial good will and to advocate the principles of fair dealing between man and man throughout the country. The worthy author of this bill spent his life in the sendee of this country, and he never intended that that act should be utilized and used the way it has been, namely to stray out of the Dominion field and enter into the provincial and municipal fields and undertake to do work which it was not intended to do. The act was intended to function so far as it applied to federal matters under section 91 of the British North America Act, and so far as it applied also to any provincial works which were undertaken which were declared to be works for the general advantage of Canada. But when it left the federal field and invaded the provincial and municipal fields and dealt with municipal utilities-light, and power and many other things-and sought to constitute itself a court of appeal from the cities or towns, or a court of appeal in the province, then it crossed the border and entered a field where it did not belong.
I think the judgment given by Lord Haldane was sound where he deals with the matter of the protection of provincial and municipal rights in this country. I may say that the legislature of the province of Ontario is complaining, and I think they have good cause to complain, that this federal body is encroaching on their rights and dealing with matters which come under the provincial jurisdiction. I first refer to the St. Lawrence development, where eastern Ontario is affected. There was an application before- the government to build up the Morrisburg dam. Under the British North America Act as it stands to-day the surplus waters subject to the rights o-f navigation belong to the province and the banks and rapids and bed of international streams. That is one constitutional question of which Ontario is asking for some solution.
Another question in which there is trouble under the British North America Act in the province I come from is the question of insurance. That has been before the Privy Council on several occasions, and the Prime Minister of Ontario said that Ottawa had gone out of its way to veto provincial legislation when there was no occasion for it. I think there was no reason for interference in regard to the question of light, power and insurance problems of the province. There is another serious conflict regarding insurance, although the province of Ontario recovered a judgment before the Privy Council twice protecting the legislation we passed. I may say

B. N. A. Act Amendment
that among other matters affecting the province are the succession duties and the revenues of the province, and the control of the water. powers of the province. If this amendment carries it would interfere with all these matters. I say there is no demand for the legislation. Nobody is asking for it, and I do not know what good it would do if we did have the legislation. What we want during the present session is that parliament should solve some practical problems concerning the people of this country at this time. One most important matter is unemployment and another is the light and power question of this Dominion. We have many other practical problems to deal with instead of taking up a question which the people are not bothering their heads about.

",Conservative (1867-1942),,Thomas Langton Church,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=b4773d7c-fb30-477a-9d14-c076e60905ac&Language=E&Section=ALL
726180,ca.proc.d.1925-02-19.13.1.1.15,1925-02-19,4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c,ca.m.491,Hon. ERNEST LAPOINTE (Minister of Justice):,Minister of Justice and Attorney General of Canada,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING,AMENDMENTS,"Any proposal affecting the constitution of Canada is by its nature of considerable importance, and the mere fact that such an experienced politician as my hon. friend from York (Mr. Maclean) has fathered this resolution is a strong indication that the subject matter of this resolution attracts a substantial measure of public attention. I desire merely to point out some of the difficulties which are in the way of the proposal submitted by my hon. friend. If I do not agree with him in many of his statements, I do agree at least with the statement that he made that there is no difficulty whatever in this connection with the Mother Country. My hon. friend stated, and repeated, that we could have that right if we asked for it, and he is absolutely right. I think that the language of some of the resolutions which I have read in the newspapers as having been adopted by associations in this country is rather unfortunate, because it conveys the impression that the Mother Country is refusing something, and that we ought to claim the right to amend our own constitution. The question, as my hon. friend rightly said, is not and cannot be one between Great Britain and Canada. It is one and might be a difficulty between this parliament and the provinces if there is any conflict in that regard.
It is true that in Australia, South Africa, New Zealand and in the Irish Free State, those dominions can, subject to many restrictions, amend their constitution. Not so with Canada. The British North America Act says itself that the Parliament of Great Britain merely enacted, put into a statute, the wish of the people of the provinces of Canada. It is of our making, and it is after an understanding between the bodies representing the provinces of Canada at that time.
There were many obstacles in the way of achieving confederation. Everybody who knows something of the history of Canada knows what some at least of those obstacles were. The country was on the verge of civil strife. During the two years which preceded the Quebec resolutions, not less than four cabinets succeeded each other at the head of the affairs of Canada. The provinces got together; they tried to effect an understanding and they effected one. In the language of Sir John A. Macdonald, the very pact of confederation bears on its face all the marks of a compromise. The provinces relinquished some of the powers which were theirs and they retained for themselves other powers. The powers which they relinquished they relinquished subject to conditions which were put into confederation, some of those conditions being more or less important, others essential, and without such conditions confederation would not have taken place. They tried to combine federal strength with local freedom of action. Everything that was private, domestic, home rule, the provinces kept to themselves, and they saw to it that their powers in that regard should never be interfered with. It is to be noted that in the British North America Act, they have the right to amend those provisions which concern their own constitution, except as regards the office of the Lieutenant-Governor. Not so in the case of any of the provisions concerning the federal parliament; and there were reasons for that. If confederation was a pact, an agreement, is it possible for one of the parties to the agreement, or rather for the body which resulted from the agreement, to amend, to alter the conditions of that pact without consulting and without securing the consent of the parties to the original agreement?

",Liberal,,Ernest Lapointe,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c&Language=E&Section=ALL
726181,ca.proc.d.1925-02-19.13.1.1.16,1925-02-19,06cf61a5-7c95-4155-ab94-d0d4156924b9,ca.m.931,Mr. MACLEAN (York):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING,AMENDMENTS,"What is the rule in the United States?

",Independent Conservative,,William Findlay Maclean,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=06cf61a5-7c95-4155-ab94-d0d4156924b9&Language=E&Section=ALL
726182,ca.proc.d.1925-02-19.13.1.1.17,1925-02-19,4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c,ca.m.491,Mr. LAPOINTE:,Minister of Justice and Attorney General of Canada,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING,AMENDMENTS,"The United States never had the same position as had the provinces at the time of confederation. As regards the United States as well as Australia, New Zealand and South Africa, they all agreed at the time of the enactment of the statute creating their constitution that they would have the right to alter it. They possess that right because it was made one of the conditions of the statute constituting them a state. Not so with Canada, because there were special conditions and difficulties in the way. I ask my hon. friend this question. Confederation was achieved and the new parliament was opened in 1867. Does he believe that two years aftewards, in 1869, for in-
B. N. A. Act Amendment

stance, this parliament could have fairly and reasonably amended the British 5 p.m. North America Act or have asked the Imperial parliament to amend it without the consent of the lour original provinces? Could he fairly say that that could have been done two years after the opening of this parliament? If it could not be done at that time, could it be done twenty-five years afterwards, or even fifty years afterwards, without the consent of the contracting parties in the pact of confederation?
I want to convey to the House one or two points and I desire every one of my colleagues not to lose sight of this. First, the British North America Act itself is not only the charter of the Dominion of Canada; it is just as much the charter of the provinces of Canada. We derive our powers from the British North America Act; so do the provinces. They have no constitution other than the British North America Act; all their powers they derive from that act. Would it then be fair for us to arrogate to ourselves the right to change the act which is just as much the constitution of the provinces as it is our own? Second, my hon. friend speaks of protection to minorities. That is not the only thing in the British North America Act in which the provinces are interested. They have all their powers which they have kept to themselves and which have been agreed by everybody to be their powers. Have we a right to amend the constitution without their consent, in the way, for instance, of taking away from them some of the powers which have been theirs since confederation.

",Liberal,,Ernest Lapointe,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c&Language=E&Section=ALL
726183,ca.proc.d.1925-02-19.13.1.1.18,1925-02-19,c0217f54-28e5-4cd6-8ce3-4d47e7475495,ca.m.4448,Mr. CRERAR:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING,AMENDMENTS,"This parliament would
have that power in respect of all provinces excepting the four that originally1 entered confederation.

",Progressive,,Thomas Alexander Crerar,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c0217f54-28e5-4cd6-8ce3-4d47e7475495&Language=E&Section=ALL
726184,ca.proc.d.1925-02-19.13.1.1.19,1925-02-19,4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c,ca.m.491,Mr. LAPOINTE:,Minister of Justice and Attorney General of Canada,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING,AMENDMENTS,"I do not agree with my hon. friend in that regard. The other provinces came later into a joint confederation, but they have the same status, powers and rights as the original four provinces and they should be consulted just as much as any other province if any substantial change is asked as regards the British North America Act.
Third, within their sphere the provinces enjoy the powers of self-government just as much as the Dominion parliament does, and if so, surely the Dominion parliament cannot take upon itself the right to change a statute which gives to those provinces the powers which they enjoy.
Perhaps I could not do better than quote three of . the leading propositions given by Professor Lefroy in The Canadian Constitution. They are propositions Nos. 2, 51 and 59, reading as follows:
(Mr. Lapointe.]
2. Although the British North America Act was founded upon the Quebec resolutions, and so must be accepted as embodying a treaty of union between the provinces, yet when once enacted it constituted a wholly new point of departure, and established the dominion and provincial governments with definite powers and duties both alike derived from it as their source.
51. The object of the British North America Act was neither to weld the provinces into one nor to subordinate provincial governments to a central authority, but to create a federal government in which they should all be represented and entrusted with the exclusive administration of affairs in which they have a common interest, each province retaining its independence and autonomy.
59. The Dominion parliament cannot either expressly or impliedly take away from or give to the provincial legislatures the power which the Imperial act does or does not give their, and the same is the case, mutatis mutandis, with the provincial legislatures.
If, Mr. Speaker, you agree with me, and if you agree with Professor Lefroy in the proposition which I have just stated, surely the conclusion is that we cannot ask for power to alter, without the consent of the provinces, the constitution which is their own constitution as well as it is ours. It also follows that if it is to be considered as a treaty, surely we cannot alter its provisions without at least seeking the consent of the other parties to that treaty.
Now, has it been considered as a treaty? I heard it suggested some time ago that this idea at confederation of a treaty is an antiquated idea. Maybe it is. But, Mr. Speaker, truth does not cease to be truth when it gets old; an old truth is always true. You cannot prevent facts from being facts whether you like them or not. I have here the Debates of the Parliament of Canada on Confederation. What did Sir John Macdonald think about it?

",Liberal,,Ernest Lapointe,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c&Language=E&Section=ALL
726185,ca.proc.d.1925-02-19.13.1.1.20,1925-02-19,deaf5a4f-d8a1-49b8-a81b-f90eeaf06463,ca.m.9018,Mr. McMASTER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING,AMENDMENTS,"May I interpolate a question? When the several amendments which have been made to the British North America Act were obtained from the Imperial parliament were the provinces consulted? I seek information.

",Liberal,,Andrew Ross McMaster,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=deaf5a4f-d8a1-49b8-a81b-f90eeaf06463&Language=E&Section=ALL
726186,ca.proc.d.1925-02-19.13.1.1.21,1925-02-19,4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c,ca.m.491,Mr. LAPOINTE:,Minister of Justice and Attorney General of Canada,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING,AMENDMENTS,"Perhaps my hon. friend will allow me to proceed and I will answer him later. Here is what Sir John Macdonald
said, page 15-*
In answer to the member for Carleton-
