position_id,speakerposition,n_speeches_with_position
68,Minister of Consumer and Corporate Affairs; Minister of State (Agriculture),152
69,Minister of Consumer and Corporate Affairs; Minister of State (Indian Affairs and Northern Development),11
70,Minister of Consumer and Corporate Affairs; Minister responsible for the Status of Women,25
71,Minister of Consumer and Corporate Affairs; Postmaster General,45
72,Minister of Consumer and Corporate Affairs; Solicitor General of Canada,16
73,Minister of Defence Production,93
74,Minister of Employment and Immigration,1208
75,Minister of Employment and Immigration; Minister responsible for the Status of Women,102
76,Minister of Employment and Immigration; Minister responsible for the Status of Women; Minister of State (Youth),14
77,"Minister of Energy, Mines and Resources",2090
78,"Minister of Energy, Mines and Resources; Minister of State for Science and Technology",101
79,Minister of Finance,3744
80,Minister of Finance and Receiver General,1165
81,Minister of Fisheries,194
82,Minister of Fisheries and Forestry,92
83,Minister of Fisheries and Oceans,525
84,Minister of Forestry,171
85,Minister of Forestry and Rural Development,90
86,Minister of Indian Affairs and Northern Development,985
87,"Minister of Industry, Science and Technology",34
88,"Minister of Industry, Trade and Commerce",831
89,"Minister of Industry, Trade and Commerce; Minister of Regional Economic Expansion",74
90,Minister of Industry; Minister of Defence Production,521
91,Minister of Industry; Minister of Trade and Commerce,88
92,Minister of Justice and Attorney General of Canada,1590
93,Minister of Justice and Attorney General of Canada; Leader of the Government in the House of Commons; Liberal Party House Leader,197
94,Minister of Justice and Attorney General of Canada; Leader of the Government in the House of Commons; Progressive Conservative Party House Leader,113
95,Minister of Justice and Attorney General of Canada; Minister of State (Agriculture),24
96,Minister of Justice and Attorney General of Canada; Minister of State for Social Development,147
97,Minister of Justice and Attorney General of Canada; Minister of Transport; Minister responsible for the Canadian Wheat Board,68
98,Minister of Justice and Attorney General of Canada; Minister responsible for the Canadian Wheat Board,352
99,Minister of Justice and Attorney General of Canada; Minister responsible for the Status of Women,37
100,Minister of Justice and Attorney General of Canada; President of the Privy Council; Leader of the Government in the House of Commons; Liberal Party House Leader,2
101,Minister of Justice and Attorney General of Canada; Secretary of State for External Affairs,1
102,Minister of Labour,1432
103,Minister of Labour; Minister of State (Transport),18
104,Minister of Labour; Minister of State for Urban Affairs,40
105,Minister of Labour; Minister responsible for Canada Mortgage and Housing Corporation,22
106,Minister of Manpower and Immigration,778
107,Minister of Manpower and Immigration; Minister responsible for the Canadian Wheat Board,152
108,Minister of Mines and Technical Surveys,86
109,Minister of Multiculturalism and Citizenship,28
110,Minister of National Defence,1112
111,Minister of National Defence; Minister of State for Urban Affairs,10
112,Minister of National Defence; Minister of Veterans Affairs,68
113,Minister of National Defence; Secretary of State for External Affairs,22
114,Minister of National Health and Welfare,1146
115,Minister of National Health and Welfare; Minister of Amateur Sport,292
116,Minister of National Health and Welfare; Minister of Amateur Sport; Leader of the Government in the House of Commons; Liberal Party House Leader,116
117,Minister of National Health and Welfare; Minister of State (Fitness and Amateur Sport),4
118,Minister of National Revenue,1024
119,Minister of National Revenue; President of the Privy Council,62
120,Minister of National Revenue; President of the Privy Council; Leader of the Government in the House of Commons; Progressive Conservative Party House Leader,102
121,Minister of Northern Affairs and National Resources,321
122,Minister of Public Works,352
123,Minister of Public Works; Leader of the Government in the House of Commons; Liberal Party House Leader,253
124,Minister of Public Works; Minister of State for Science and Technology,131
125,Minister of Public Works; Minister of State for Urban Affairs,40
126,Minister of Public Works; Minister responsible for Canada Mortgage and Housing Corporation,108
127,Minister of Public Works; Minister responsible for Canada Mortgage and Housing Corporation; Minister responsible for National Capital Commission,277
128,Minister of Regional Economic Expansion,333
129,"Minister of Regional Economic Expansion; Minister of Industry, Trade and Commerce",71
130,Minister of Regional Economic Expansion; Progressive Conservative Party Caucus Chair,20
131,Minister of Regional Industrial Expansion,143
132,Minister of Regional Industrial Expansion; Minister of State for Science and Technology,82
133,Minister of Regional Industrial Expansion; Minister of Transport,6
134,Minister of Regional Industrial Expansion; Minister responsible for Canada Post Corporation,8
135,Minister of State (Agriculture),22
136,Minister of State (Canadian Wheat Board),139
137,Minister of State (Employment and Immigration),17
138,Minister of State (Environment),51
139,Minister of State (External Relations),31
140,Minister of State (Federal-Provincial Relations),18
141,Minister of State (Finance and Privatization),266
142,Minister of State (Finance),983
143,Minister of State (Fisheries),45
144,Minister of State (Fitness and Amateur Sport),128
145,Minister of State (Fitness and Amateur Sport); Minister of State (Youth); Deputy Leader of the Government in the House of Commons; Progressive Conservative Party Deputy House Leader,46
146,Minister of State (Forestry and Mines),20
147,Minister of State (Forestry),37
148,Minister of State (Forestry); Minister of State (Science and Technology),2
149,Minister of State (Government House Leader); Leader of the Government in the House of Commons; Progressive Conservative Party House Leader,77
150,Minister of State (Government House Leader); Minister of State (Treasury Board),201
151,Minister of State (Government House Leader); Minister of State (Treasury Board); Parliamentary Secretary to the President of the Privy Council,28
152,Minister of State (Grains and Oilseeds),48
153,Minister of State (Housing),87
154,Minister of State (Housing); Minister of State (Finance and Privatization),13
155,Minister of State (Housing); Minister of State (International Trade),30
156,Minister of State (Immigration),66
157,Minister of State (Indian Affairs and Northern Development),31
158,Minister of State (Indian Affairs and Northern Development); Minister of State (Small Businesses and Tourism),56
159,Minister of State (International Trade),87
160,Minister of State (Mines),47
161,Minister of State (Multiculturalism and Citizenship),2
162,Minister of State (Multiculturalism),169
163,Minister of State (Multiculturalism); Minister of State (Fitness and Amateur Sport),17
164,Minister of State (Privatization and Regulatory Affairs),117
165,Minister of State (Science and Technology),41
166,Minister of State (Seniors); Minister of State (Employment and Immigration),53
167,Minister of State (Small Businesses and Tourism),328
168,Minister of State (Small Businesses),70
169,Minister of State (Tourism),10
170,Minister of State (Trade),12
171,Minister of State (Transport),55
172,Minister of State (Treasury Board),6
173,Minister of State (Without Portfolio),34
174,Minister of State (Without Portfolio); Leader of the Government in the House of Commons; Progressive Conservative Party House Leader,521
175,Minister of State (Youth),99
176,"Minister of State (Youth), Minister of State (Fitness and Amateur Sport) and Deputy Leader of the Government in the House of Commons; Minister of State (Youth)",34
177,"Minister of State (Youth), Minister of State (Fitness and Amateur Sport) and Deputy Leader of the Government in the House of Commons; Minister of State (Youth); Deputy Leader of the Government in the House of Commons; Progressive Conservative Party Deputy House Leader",43
178,Minister of State for Economic and Regional Development; Minister of State for Science and Technology,29
179,Minister of State for Economic Development,24
180,Minister of State for Economic Development; Minister of State for Science and Technology,93
181,Minister of State for Fitness and Amateur Sport; Minister of State for Multiculturalism,3
182,Minister of State for International Trade,14
183,Minister of State for Science and Technology,83
184,Minister of State for Small Businesses and Industry,23
185,Minister of State for Urban Affairs,425
186,Minister of Supply and Services,465
187,Minister of Supply and Services; Minister of Public Works; Minister responsible for Canada Mortgage and Housing Corporation,2
188,Minister of the Environment,715
189,Minister of the Environment; Minister of State for Science and Technology,102
190,Minister of the Environment; Postmaster General,23
191,Minister of the Environment; President of the Treasury Board,7
192,Minister of the Environment; Secretary of State of Canada,2
193,Minister of the Western Diversification Office; Minister of Indian Affairs and Northern Development,52
194,Minister of Trade and Commerce,410
195,Minister of Transport,3165
196,Minister of Transport; Minister responsible for the Canadian Wheat Board,715
197,Minister of Transport; Minister Without Portfolio,1
198,Minister of Veterans Affairs,456
199,Minister of Veterans Affairs; Leader of the Government in the House of Commons; Progressive Conservative Party House Leader,9
200,Minister of Veterans Affairs; Minister of National Defence,29
201,Minister of Veterans Affairs; Minister of State (Seniors),9
202,Minister of Western Economic Diversification; Minister of Indian Affairs and Northern Development,11
203,Minister of Western Economic Diversification; Minister of State (Grains and Oilseeds),120
204,Minister of Western Economic Diversification; Minister responsible for the Status of Women; Minister of State (Environment),34
205,Minister responsible for Canada Mortgage and Housing Corporation; Minister of Public Works,28
206,Minister responsible for Canada Post Corporation; Minister of Consumer and Corporate Affairs,14
207,Minister responsible for Constitutional Affairs; President of the Privy Council,110
208,Minister responsible for Multiculturalism; Secretary of State of Canada,23
209,Minister responsible for the Canadian Wheat Board; Minister Without Portfolio,44
210,Minister responsible for the Status of Women; Associate Minister of National Defence,130
211,Minister responsible for the Status of Women; Minister of Amateur Sport; Minister of National Health and Welfare,194
212,Minister responsible for the Status of Women; Minister of Employment and Immigration,388
213,Minister responsible for the Status of Women; Minister of National Health and Welfare,97
214,Minister responsible for the Status of Women; Minister of State (Federal-Provincial Relations),38
215,Minister responsible for the Status of Women; Minister of State (Mines),45
216,Minister responsible for the Status of Women; Minister of State (Privatization),51
217,Minister Without Portfolio,387
218,Minister Without Portfolio; Chief Government Whip; Whip of the Liberal Party,2
219,Minister Without Portfolio; Solicitor General of Canada,98
220,N.D.P. Caucus Chair,1360
221,N.D.P. Deputy House Leader,468
222,N.D.P. House Leader,4657
223,N.D.P. House Leader; Whip of the N.D.P.,2085
224,Official Opposition House Leader; Deputy House Leader of the Official Opposition; Liberal Party House Leader; Liberal Party Deputy House Leader,142
225,Official Opposition House Leader; Liberal Party House Leader,1068
226,Official Opposition House Leader; Progressive Conservative Party House Leader,3218
227,Parliamentary Leader of the N.D.P.,377
228,Parliamentary Secretary to the Deputy Prime Minister; Parliamentary Secretary to the Minister of Finance,73
229,Parliamentary Secretary to the Deputy Prime Minister; Parliamentary Secretary to the Minister of Finance; Parliamentary Secretary to the Deputy Leader of the Government in the House of Commons; Parliamentary Secretary to the Minister of State (Fitness and Amateur Sport),51
230,Parliamentary Secretary to the Deputy Prime Minister; Parliamentary Secretary to the President of the Privy Council,9
231,Parliamentary Secretary to the Leader of the Government in the House of Commons,319
232,Parliamentary Secretary to the Leader of the Government in the House of Commons; Chief Government Whip; Whip of the Progressive Conservative Party,7
233,Parliamentary Secretary to the Leader of the Government in the House of Commons; Parliamentary Secretary to the Minister of Justice and Attorney General of Canada,18
234,Parliamentary Secretary to the Minister for External Relations,68
235,Parliamentary Secretary to the Minister for External Relations; Parliamentary Secretary to the Minister of State (Indian Affairs and Northern Development),44
236,Parliamentary Secretary to the Minister for International Trade,346
237,Parliamentary Secretary to the Minister for Science,44
238,Parliamentary Secretary to the Minister of Agriculture,430
239,Parliamentary Secretary to the Minister of Agriculture; Chief Government Whip's assistant; Deputy Whip of the Liberal Party,5
240,Parliamentary Secretary to the Minister of Citizenship and Immigration,144
241,Parliamentary Secretary to the Minister of Communications,365
242,Parliamentary Secretary to the Minister of Communications; Deputy Whip of the Progressive Conservative Party,4
243,Parliamentary Secretary to the Minister of Communications; Parliamentary Secretary to the Secretary of State of Canada,75
244,Parliamentary Secretary to the Minister of Consumer and Corporate Affairs,358
245,Parliamentary Secretary to the Minister of Consumer and Corporate Affairs; Parliamentary Secretary to the Minister of State (Agriculture),71
246,Parliamentary Secretary to the Minister of Consumer and Corporate Affairs; Parliamentary Secretary to the Postmaster General,9
247,Parliamentary Secretary to the Minister of Employment and Immigration,471
248,"Parliamentary Secretary to the Minister of Energy, Mines and Resources",774
249,"Parliamentary Secretary to the Minister of Energy, Mines and Resources; Parliamentary Secretary to the Minister of Forestry",7
250,"Parliamentary Secretary to the Minister of Energy, Mines and Resources; Parliamentary Secretary to the Minister of State for Science and Technology",11
251,Parliamentary Secretary to the Minister of Finance,1859
252,Parliamentary Secretary to the Minister of Fisheries,44
253,Parliamentary Secretary to the Minister of Fisheries and Forestry,56
254,Parliamentary Secretary to the Minister of Fisheries and Oceans,377
255,Parliamentary Secretary to the Minister of Fisheries and the Environment,52
256,Parliamentary Secretary to the Minister of Forestry,45
257,Parliamentary Secretary to the Minister of Forestry and Rural Development,22
258,Parliamentary Secretary to the Minister of Forestry; Parliamentary Secretary to the Minister of Agriculture,37
259,Parliamentary Secretary to the Minister of Indian Affairs and Northern Development,534
260,Parliamentary Secretary to the Minister of Industry,2
261,"Parliamentary Secretary to the Minister of Industry, Science and Technology",62
262,"Parliamentary Secretary to the Minister of Industry, Science and Technology; Parliamentary Secretary to the Minister for International Trade",14
263,"Parliamentary Secretary to the Minister of Industry, Trade and Commerce",462
264,"Parliamentary Secretary to the Minister of Industry, Trade and Commerce; Parliamentary Secretary to the Minister of Regional Economic Expansion",1
265,Parliamentary Secretary to the Minister of Justice and Attorney General of Canada,641
266,Parliamentary Secretary to the Minister of Justice and Attorney General of Canada; Parliamentary Secretary to the Leader of the Government in the House of Commons,72
267,Parliamentary Secretary to the Minister of Justice and Attorney General of Canada; Parliamentary Secretary to the Minister of State for Social Development,100
268,Parliamentary Secretary to the Minister of Labour,644
269,Parliamentary Secretary to the Minister of Labour; Parliamentary Secretary to the Minister of State (Sports),17
270,Parliamentary Secretary to the Minister of Labour; Parliamentary Secretary to the Minister of State (Sports); Liberal Party Caucus Chair,1
271,Parliamentary Secretary to the Minister of Manpower and Immigration,278
272,Parliamentary Secretary to the Minister of Mines and Technical Surveys,30
273,Parliamentary Secretary to the Minister of Multiculturalism and Citizenship; Parliamentary Secretary to the Secretary of State of Canada,81
274,Parliamentary Secretary to the Minister of National Defence,564
275,Parliamentary Secretary to the Minister of National Defence; Parliamentary Secretary to the Leader of the Government in the House of Commons,35
276,Parliamentary Secretary to the Minister of National Defence; Parliamentary Secretary to the Minister of Communications,2
277,Parliamentary Secretary to the Minister of National Defence; Parliamentary Secretary to the Minister of Veterans Affairs,14
278,Parliamentary Secretary to the Minister of National Health and Welfare,755
279,Parliamentary Secretary to the Minister of National Revenue,252
280,Parliamentary Secretary to the Minister of Northern Affairs and National Resources,91
281,Parliamentary Secretary to the Minister of Public Works,247
282,Parliamentary Secretary to the Minister of Public Works; Parliamentary Secretary to the Minister of State for Science and Technology,43
283,Parliamentary Secretary to the Minister of Public Works; Parliamentary Secretary to the Minister of State for Urban Affairs,20
284,Parliamentary Secretary to the Minister of Public Works; Progressive Conservative Party Caucus Chair,14
285,Parliamentary Secretary to the Minister of Regional Economic Expansion,228
286,"Parliamentary Secretary to the Minister of Regional Economic Expansion; Parliamentary Secretary to the Minister of Industry, Trade and Commerce",63
287,Parliamentary Secretary to the Minister of Regional Economic Expansion; Whip of the Liberal Party,58
288,Parliamentary Secretary to the Minister of Regional Industrial Expansion,66
289,Parliamentary Secretary to the Minister of Regional Industrial Expansion; Parliamentary Secretary to the Minister of State for Science and Technology,9
290,Parliamentary Secretary to the Minister of State (Agriculture); Parliamentary Secretary to the Minister of Consumer and Corporate Affairs,11
291,Parliamentary Secretary to the Minister of State (Agriculture); Parliamentary Secretary to the Solicitor General of Canada,30
292,Parliamentary Secretary to the Minister of State (Environment),10
293,Parliamentary Secretary to the Minister of State (Finance and Privatization),196
294,Parliamentary Secretary to the Minister of State (Finance),4
295,Parliamentary Secretary to the Minister of State (Finance); Parliamentary Secretary to the Minister of State (Privatization and Regulatory Affairs),41
296,Parliamentary Secretary to the Minister of State (Finance); Parliamentary Secretary to the President of the Treasury Board,60
297,Parliamentary Secretary to the Minister of State (Fitness and Amateur Sport); Parliamentary Secretary to the Minister of State (Multiculturalism),6
298,Parliamentary Secretary to the Minister of State (Forestry and Mines),10
299,Parliamentary Secretary to the Minister of State (Forestry),17
300,Parliamentary Secretary to the Minister of State (Government House Leader),12
301,Parliamentary Secretary to the Minister of State (Indian Affairs and Northern Development); Parliamentary Secretary to the Minister of Consumer and Corporate Affairs; Parliamentary Secretary to the Minister of State (Agriculture),3
302,Parliamentary Secretary to the Minister of State (Mines),57
303,Parliamentary Secretary to the Minister of State (Multiculturalism and Citizenship); Parliamentary Secretary to the Secretary of State of Canada,104
304,Parliamentary Secretary to the Minister of State (Multiculturalism),42
305,Parliamentary Secretary to the Minister of State (Science and Technology),59
306,Parliamentary Secretary to the Minister of State (Seniors); Parliamentary Secretary to the Minister for External Relations; Parliamentary Secretary to the Minister of State (Indian Affairs and Northern Development),6
307,Parliamentary Secretary to the Minister of State (Small Businesses and Tourism),109
308,Parliamentary Secretary to the Minister of State (Sports); Parliamentary Secretary to the Secretary of State of Canada,5
309,Parliamentary Secretary to the Minister of State (Trade),8
310,Parliamentary Secretary to the Minister of State (Youth),6
311,Parliamentary Secretary to the Minister of State (Youth); Parliamentary Secretary to the Deputy Leader of the Government in the House of Commons; Parliamentary Secretary to the Minister of State (Fitness and Amateur Sport),63
312,Parliamentary Secretary to the Minister of State for Economic and Regional Development; Parliamentary Secretary to the Minister of State for Science and Technology,14
313,Parliamentary Secretary to the Minister of State for Economic Development; Parliamentary Secretary to the Minister of State for Science and Technology,50
314,Parliamentary Secretary to the Minister of State for Federal-Provincial Relations,1
315,Parliamentary Secretary to the Minister of State for Federal-Provincial Relations; Chief Government Whip; Whip of the Liberal Party,9
316,Parliamentary Secretary to the Minister of State for Science and Technology,56
317,Parliamentary Secretary to the Minister of State for Science and Technology; Parliamentary Secretary to the Minister of Regional Industrial Expansion,14
318,Parliamentary Secretary to the Minister of State for Urban Affairs,137
319,Parliamentary Secretary to the Minister of Supply and Services,205
320,Parliamentary Secretary to the Minister of the Environment,570
321,Parliamentary Secretary to the Minister of the Environment; Parliamentary Secretary to the Minister of State for Science and Technology,123
322,Parliamentary Secretary to the Minister of the Environment; Parliamentary Secretary to the Postmaster General,6
323,Parliamentary Secretary to the Minister of Trade and Commerce,94
324,Parliamentary Secretary to the Minister of Transport,1688
325,Parliamentary Secretary to the Minister of Veterans Affairs,254
326,Parliamentary Secretary to the Postmaster General,124
327,Parliamentary Secretary to the Postmaster General; Parliamentary Secretary to the Minister of Consumer and Corporate Affairs,20
328,Parliamentary Secretary to the President of the Privy Council,2034
329,Parliamentary Secretary to the President of the Privy Council; Chief Government Whip; Whip of the Progressive Conservative Party,4
330,Parliamentary Secretary to the President of the Privy Council; Deputy Leader of the Government in the House of Commons; Liberal Party Deputy House Leader,133
331,Parliamentary Secretary to the President of the Privy Council; Parliamentary Secretary to the Minister of Agriculture,78
332,Parliamentary Secretary to the President of the Treasury Board,472
333,Parliamentary Secretary to the President of the Treasury Board; Whip of the Liberal Party,7
334,Parliamentary Secretary to the Prime Minister,376
335,Parliamentary Secretary to the Registrar General of Canada,5
336,Parliamentary Secretary to the Secretary of State for External Affairs,683
337,Parliamentary Secretary to the Secretary of State of Canada,491
338,Parliamentary Secretary to the Secretary of State of Canada; Parliamentary Secretary to the Minister of State (Fitness and Amateur Sport); Parliamentary Secretary to the Minister of State (Multiculturalism),8
339,Parliamentary Secretary to the Solicitor General of Canada,319
340,Postmaster General,565
341,Postmaster General; Minister of Consumer and Corporate Affairs,69
342,Postmaster General; Minister Without Portfolio,5
343,President of the Privy Council,128
344,President of the Privy Council; Leader of the Government in the House of Commons; Liberal Party House Leader,2393
345,President of the Privy Council; Leader of the Government in the House of Commons; Progressive Conservative Party House Leader,181
346,President of the Privy Council; Minister of State (Government House Leader); Leader of the Government in the House of Commons; Progressive Conservative Party House Leader,133
347,President of the Treasury Board,1262
348,President of the Treasury Board; Minister of National Revenue,140
349,President of the Treasury Board; Minister of State (Finance),192
350,President of the Treasury Board; Minister of State (Government House Leader); Minister of State (Treasury Board),23
351,Prime Minister,5900
352,Prime Minister; President of the Privy Council,33
353,Progressive Conservative Party Assistant Deputy House Leader,7
354,Progressive Conservative Party Caucus Chair,951
355,Progressive Conservative Party Caucus Vice-Chair,167
356,Progressive Conservative Party Deputy House Leader,67
357,Registrar General of Canada,56
358,Registrar General of Canada; President of the Privy Council,3
359,Secretary of State for External Affairs,2711
360,Secretary of State of Canada,1336
361,Secretary of State of Canada; Leader of the Government in the House of Commons; Liberal Party House Leader,384
362,Secretary of State of Canada; Minister of Amateur Sport,83
363,Secretary of State of Canada; Minister of Communications,70
364,Secretary of State of Canada; Minister of State (Multiculturalism and Citizenship),64
365,Solicitor General of Canada,1403
366,Solicitor General of Canada; Minister of Justice and Attorney General of Canada,3
367,Solicitor General of Canada; Minister of National Defence,3
368,Solicitor General of Canada; Minister of State (Agriculture),40
369,Speaker of the House of Commons,4795
370,Speaker of the Senate,8
371,Vice-President,3
372,Whip of the Liberal Party,12
373,Whip of the N.D.P.,1696
374,Whip of the Progressive Conservative Party,24
375,Whip of the Social Credit Party,4
