basepk,topic,category
558828,pension eligibility for widowed mothers of soldiers,Veterans' and Military Affairs
558889,national eight-hour working day legislation,Social Welfare and Labour
558809,pensions for widowed mothers of soldiers,Veterans' and Military Affairs
558840,distinctive war service badges for naval personnel,Veterans' and Military Affairs
558847,design of naval service badges,Veterans' and Military Affairs
558841,distribution of naval war badges,Veterans' and Military Affairs
558846,distinctive naval service badges,Veterans' and Military Affairs
558905,ratification of international labour conventions,Social Welfare and Labour
558816,administration of the Pensions Act,Veterans' and Military Affairs
558835,distribution of naval service badges,Veterans' and Military Affairs
558819,pensions for widowed mothers,Social Welfare and Labour
558935,federal legislative jurisdiction over eight-hour workdays,Social Welfare and Labour
558821,administration of the Pension Act for widows,Veterans' and Military Affairs
558979,civil service superannuation benefits,Government and Parliamentary Affairs
558806,pension exemptions for widowed mothers,Social Welfare and Labour
558825,war widows' pension regulations,Veterans' and Military Affairs
558733,Canadian News Service staffing and expenses,Transportation and Communications
558907,international labour convention on eight-hour workdays,Social Welfare and Labour
558855,Canada's little brown war badge,Veterans' and Military Affairs
559006,residency requirements for government annuities,Social Welfare and Labour
558974,interest rates on government savings accounts,Banking and Monetary Policy
558922,international labour convention on working hours,Social Welfare and Labour
558985,canadian currency exchange and gold reserves,Banking and Monetary Policy
558920,international labour convention on eight-hour workdays,Social Welfare and Labour
558987,Canadian dollar exchange rate devaluation,Banking and Monetary Policy
558954,national eight-hour working day jurisdiction,Social Welfare and Labour
558854,awarding of Canadian naval service badges,Veterans' and Military Affairs
559022,government annuities interest rate adjustment,Social Welfare and Labour
559069,Canada's national status within the British Empire,"Justice, Constitution, and Indigenous Affairs"
559015,amendment of the Government Annuities Act,Social Welfare and Labour
558931,federal jurisdiction over international treaty implementation,"Justice, Constitution, and Indigenous Affairs"
559094,national unity and political discourse,Government and Parliamentary Affairs
558861,standardization of Canadian war service badges,Veterans' and Military Affairs
559027,ratification of the Bulgarian peace treaty,International Trade and Tariffs
558859,design of Canada's naval war service badge,Veterans' and Military Affairs
559011,financial performance of government annuities,Social Welfare and Labour
559038,Canada's international status and political legacy,"Justice, Constitution, and Indigenous Affairs"
558807,pension eligibility for widowed mothers,Social Welfare and Labour
559113,Canada's representation at the Paris Peace Conference,"Justice, Constitution, and Indigenous Affairs"
559132,Canada's status and autonomy within the British Empire,"Justice, Constitution, and Indigenous Affairs"
559017,parliamentary procedure and acoustic concerns,Government and Parliamentary Affairs
559156,construction of Ste. Anne de Beaupré wharf,Transportation and Communications
558947,federal jurisdiction over provincial legislative matters,"Justice, Constitution, and Indigenous Affairs"
559107,Canada's international status at the Paris Peace Conference,"Justice, Constitution, and Indigenous Affairs"
559060,ratification of the Treaty of Versailles,International Trade and Tariffs
559115,League of Nations covenant reservations,International Trade and Tariffs
559173,purchase and sale of re-cleaned screenings,Agriculture and Food Policy
559087,Canada's status as a nation,"Justice, Constitution, and Indigenous Affairs"
558923,establishment of a national eight-hour working day,Social Welfare and Labour
558929,federal authority over treaty implementation,"Justice, Constitution, and Indigenous Affairs"
559070,Canada's national status within the British Empire,"Justice, Constitution, and Indigenous Affairs"
559163,issuance of naval service badges,Veterans' and Military Affairs
558992,amendments to the Currency Act regarding coinage,Banking and Monetary Policy
559123,Canada's constitutional autonomy within the British Empire,"Justice, Constitution, and Indigenous Affairs"
559121,ratification of the Treaty of Versailles,International Trade and Tariffs
559181,St. John and Quebec Railroad operations,Transportation and Communications
559136,Canadian constitutional status within the British Empire,"Justice, Constitution, and Indigenous Affairs"
559064,constitutional authority of the British Empire,"Justice, Constitution, and Indigenous Affairs"
559228,re-establishment of returned soldiers,Veterans' and Military Affairs
558978,civil service superannuation fund interest rates,Public Finance and Taxation
559068,Canada's national status and the British Empire,"Justice, Constitution, and Indigenous Affairs"
558937,jurisdictional authority over eight-hour workdays,Social Welfare and Labour
559040,Canada's national status and treaty ratification,"Justice, Constitution, and Indigenous Affairs"
559196,civil service classification and remuneration,Government and Parliamentary Affairs
559074,Canada's national status and political credit,"Justice, Constitution, and Indigenous Affairs"
559058,Canada's status regarding the Treaty of Versailles,"Justice, Constitution, and Indigenous Affairs"
559188,origins of the Railway Association of Canada,Transportation and Communications
558933,constitutional jurisdiction over an eight-hour working day,Social Welfare and Labour
559072,constitutional amendment power,"Justice, Constitution, and Indigenous Affairs"
558927,federal jurisdiction over eight-hour work day legislation,Social Welfare and Labour
558939,provincial jurisdiction over treaty implementation,"Justice, Constitution, and Indigenous Affairs"
558977,civil service superannuation act amendments,Government and Parliamentary Affairs
558999,silver coinage valuation,Banking and Monetary Policy
559230,re-establishment of first world war veterans,Veterans' and Military Affairs
559273,re-establishment of returned soldiers,Veterans' and Military Affairs
559326,civil service classification disputes,Government and Parliamentary Affairs
559277,parliamentary business scheduling,Government and Parliamentary Affairs
559313,government information requests regarding military fines and public works departments,Government and Parliamentary Affairs
559302,appointment of Brigadier-General Langton,Veterans' and Military Affairs
559247,re-establishment of returned soldiers,Veterans' and Military Affairs
559249,re-establishment of returned soldiers,Veterans' and Military Affairs
559275,re-establishment of returned soldiers,Veterans' and Military Affairs
559364,civil service classification and reclassification grievances,Government and Parliamentary Affairs
559291,Canadian Navy composition and expenditures,Veterans' and Military Affairs
559318,Civil Service Commission classification process,Government and Parliamentary Affairs
559280,procedural rules for public expenditure petitions,Government and Parliamentary Affairs
559274,re-establishment of returned soldiers,Veterans' and Military Affairs
559343,civil service reclassification and standardization,Government and Parliamentary Affairs
559393,International Opium Convention legislative amendments,"Justice, Constitution, and Indigenous Affairs"
559303,military service and pay of brigadier-general Langton,Veterans' and Military Affairs
559306,superannuation status of Peterborough government employees,Government and Parliamentary Affairs
559349,civil service classification and salary adjustments,Government and Parliamentary Affairs
559294,French translation of government publications,Government and Parliamentary Affairs
559454,dismissal of Arthur S. Porter,Government and Parliamentary Affairs
559327,civil service patronage and administrative responsibility,Government and Parliamentary Affairs
559368,civil service classification and political appointments,Government and Parliamentary Affairs
559400,opium and drug import/export regulation,"Justice, Constitution, and Indigenous Affairs"
559353,civil service classification and salary scales,Government and Parliamentary Affairs
559382,civil service classification and promotion stagnation,Government and Parliamentary Affairs
559366,civil service classification and dismissal practices,Government and Parliamentary Affairs
559408,Canada Shipping Act amendments regarding maritime certification,Transportation and Communications
559450,identification of a deceased prisoner's body,"Justice, Constitution, and Indigenous Affairs"
559320,cost of civil service classification consultants,Government and Parliamentary Affairs
559413,Canada Shipping Act amendment,Transportation and Communications
559409,Canada Shipping Act amendment for sailing vessels,Transportation and Communications
559414,Canada Shipping Act certificate requirements,Transportation and Communications
559371,civil service classification and salary administration,Government and Parliamentary Affairs
559430,Spirit River railway transportation difficulties,Transportation and Communications
559384,civil service reclassification system,Government and Parliamentary Affairs
559399,international opium convention legislation,"Justice, Constitution, and Indigenous Affairs"
559377,civil service classification of parliamentary staff,Government and Parliamentary Affairs
559372,classification of House of Commons employees,Government and Parliamentary Affairs
559345,civil service salary classification,Government and Parliamentary Affairs
559479,income taxation of Ottawa civil servants,Public Finance and Taxation
559488,federal grants to the Ottawa Improvement Commission,Public Finance and Taxation
559378,civil service classification system efficiency,Government and Parliamentary Affairs
559429,"grain transportation on the Edmonton, Dunvegan and British Columbia Railway",Transportation and Communications
559481,tax exemption for Ottawa civil servants,Public Finance and Taxation
557503,political party affiliations,Government and Parliamentary Affairs
557497,criticism of the Union Government administration,Government and Parliamentary Affairs
559460,Canada Shipping Act vessel tonnage amendments,Transportation and Communications
557512,Quebec's political stance on national negotiation,Natural Resources and Intergovernmental Relations
559511,revision of food and drugs legislation,Agriculture and Food Policy
559461,amendment to the Canada Shipping Act,Transportation and Communications
557531,government partisan support and leadership criticism,Government and Parliamentary Affairs
557519,tensions between Ontario and Quebec,Natural Resources and Intergovernmental Relations
559464,merchant marine officer certification requirements,Transportation and Communications
559670,chartered bank profits and taxation statistics,Banking and Monetary Policy
559480,federal government agreement with city of Ottawa,Natural Resources and Intergovernmental Relations
559474,government water supply agreement with Ottawa,Natural Resources and Intergovernmental Relations
559473,Ottawa water supply agreement for government buildings,Natural Resources and Intergovernmental Relations
559655,Grand Trunk Railway stock valuations,Transportation and Communications
557498,partisan political debate,Government and Parliamentary Affairs
559485,income tax liability of civil servants,Public Finance and Taxation
559462,certification requirements for ship masters,Transportation and Communications
557501,calling a federal election,Government and Parliamentary Affairs
557510,parliamentary dissolution and election call,Government and Parliamentary Affairs
559470,annual federal payment to Ottawa city government,Natural Resources and Intergovernmental Relations
559699,standardization and grading of dairy products,Agriculture and Food Policy
557532,parliamentary attendance of the Prime Minister,Government and Parliamentary Affairs
559472,federal grant to the city of Ottawa,Natural Resources and Intergovernmental Relations
559688,standardization and grading of dairy exports,Agriculture and Food Policy
559554,incorporation of Scottish Canadian Assurance Corporation,Banking and Monetary Policy
559673,inquiry regarding income tax statistics and national debt,Public Finance and Taxation
557505,national unity and french-english relations,"Justice, Constitution, and Indigenous Affairs"
559665,remuneration for rural mail carriers,Transportation and Communications
559624,resignation of newsprint controller R. A. Pringle,Government and Parliamentary Affairs
559491,Ottawa water service charges for government parks,Natural Resources and Intergovernmental Relations
559692,standardization and grading of dairy products,Agriculture and Food Policy
559530,government policy announcements,Government and Parliamentary Affairs
559700,legalization and sale of oleomargarine,Agriculture and Food Policy
559759,outstanding orders for government returns,Government and Parliamentary Affairs
559732,Ottawa Mint annual operating grant increase,Public Finance and Taxation
559851,government shipbuilding expenditures and railway deficits,Transportation and Communications
557529,federal election and tariff policy,International Trade and Tariffs
559671,automobile imports and Board of Commerce inquiries,International Trade and Tariffs
559701,standardization and grading of dairy products,Agriculture and Food Policy
559800,government subsidies for the shipbuilding industry,Transportation and Communications
559733,increased funding for the Ottawa Mint,Public Finance and Taxation
559809,government subsidies for shipping lines,Transportation and Communications
559767,government merchant shipbuilding contracts and costs,Transportation and Communications
559696,prohibition of oleomargarine sales,Agriculture and Food Policy
559747,reappointment of special committee on scientific research,Government and Parliamentary Affairs
559807,British government shipping subsidies,Transportation and Communications
559690,standardization and grading of dairy exports,Agriculture and Food Policy
559719,review of veterans' pension legislation,Veterans' and Military Affairs
559788,decline in Canadian shipping and national policy,Transportation and Communications
559819,cost comparison of Canadian-built ships,Transportation and Communications
559825,government merchant marine shipbuilding contracts,Transportation and Communications
559786,shipbuilding industry shrinkage,Transportation and Communications
559817,Canadian Government Merchant Marine crew staffing,Transportation and Communications
559811,distribution of federal shipbuilding contracts,Transportation and Communications
559780,financial reserves of the Canadian Government Merchant Marine,Transportation and Communications
559860,government merchant vessel business profits tax,Public Finance and Taxation
559712,railway mail carriage rate reports,Transportation and Communications
559813,government shipbuilding contracts,Veterans' and Military Affairs
559848,government shipbuilding programme expenditures,Transportation and Communications
559785,Canadian shipbuilding industry development,Transportation and Communications
559892,Canadian Government Merchant Marine operations and policy,Transportation and Communications
559938,Canadian National Railways infrastructure in Quebec,Transportation and Communications
559906,taxation of Canadian Government Merchant Marine ships,Public Finance and Taxation
559810,government shipbuilding contracts,Veterans' and Military Affairs
559857,Canadian Government Mercantile Marine freight operations,Transportation and Communications
559891,emergency food supplies to Magdalen Islands,Agriculture and Food Policy
559947,government operation of the Canadian Mercantile Marine,Transportation and Communications
559852,federal shipbuilding programme expenditure and chartering,Transportation and Communications
559863,coal and iron ore shipping industry,Transportation and Communications
559997,government legislative programme urgency,Government and Parliamentary Affairs
559893,government shipbuilding contracts and shipping subsidies,Transportation and Communications
559929,Canadian shipbuilding industry and maritime freight rates,Transportation and Communications
559998,government tendering for shipbuilding contracts,Government and Parliamentary Affairs
559952,comparative costs of shipbuilding,Transportation and Communications
559993,government shipbuilding policy,Transportation and Communications
559942,Canadian National Railway service in Quebec,Transportation and Communications
559962,public contract tendering requirements,Government and Parliamentary Affairs
560007,naval service expenditure appropriations,Veterans' and Military Affairs
559933,routing of Canadian railway freight,Transportation and Communications
559928,federal infrastructure spending and national railway management,Transportation and Communications
559945,development of the port of Quebec,Transportation and Communications
559936,Grand Trunk Railway administration and government spending,Transportation and Communications
559964,public tender requirements for government contracts,Government and Parliamentary Affairs
560026,civil service re-classification procedures,Government and Parliamentary Affairs
559872,maritime shipping industry in Nova Scotia,Transportation and Communications
559979,government compliance with legal statutes,"Justice, Constitution, and Indigenous Affairs"
559867,maritime navigation and shipping expertise,Transportation and Communications
559959,government shipbuilding contract procurement policies,Government and Parliamentary Affairs
560037,Connaught Rifle Ranges costs and usage,Veterans' and Military Affairs
559976,government shipbuilding contracts,Veterans' and Military Affairs
559953,government operation of merchant shipping,Transportation and Communications
559991,government tendering requirements for public works,Government and Parliamentary Affairs
559865,protectionist trade policy,International Trade and Tariffs
559869,Nova Scotia industrial steel and coal production,Natural Resources and Intergovernmental Relations
559971,government public works tendering requirements,Government and Parliamentary Affairs
559969,government shipbuilding contracts,Veterans' and Military Affairs
560054,interest rates on government bank deposits,Banking and Monetary Policy
560093,daily translation of French speeches into English,Government and Parliamentary Affairs
560098,translation of parliamentary speeches into French,Government and Parliamentary Affairs
560008,parliamentary supply and budget estimates,Public Finance and Taxation
560038,Connaught Rifle Ranges land and construction costs,Veterans' and Military Affairs
560032,Alfred peat manufacturing plant operations,Natural Resources and Intergovernmental Relations
560068,alberta seed grain and relief repayment statistics,Agriculture and Food Policy
559954,government shipbuilding and railway freight policy,Transportation and Communications
560099,translation of french speeches in parliament,Government and Parliamentary Affairs
559944,shipping and railway management policy,Transportation and Communications
560183,military canteen fund profits,Veterans' and Military Affairs
560159,acquisition of British naval vessels,Veterans' and Military Affairs
560152,Canada's permanent naval policy deferral,Veterans' and Military Affairs
560003,government merchant marine vessel procurement,Transportation and Communications
560001,Canadian National Railway merchant marine operations,Transportation and Communications
560154,deferment of permanent naval policy,Veterans' and Military Affairs
560166,government naval policy statement,Veterans' and Military Affairs
560148,government naval policy,Veterans' and Military Affairs
560043,dismissal of Printing Bureau staff,Government and Parliamentary Affairs
560131,prairie provinces grasshopper infestation management,Agriculture and Food Policy
560101,simultaneous translation of parliamentary debates,Government and Parliamentary Affairs
560102,marginalization of french language in federal departments,Government and Parliamentary Affairs
560201,Dominion Franchise Act voter registration procedures,Government and Parliamentary Affairs
560097,translation of french speeches in parliament,Government and Parliamentary Affairs
560182,distribution of military canteen profits,Veterans' and Military Affairs
560147,Canadian naval service reorganization and policy,Veterans' and Military Affairs
560205,appointment of election returning officers,Government and Parliamentary Affairs
560195,federal control of the dominion franchise,Government and Parliamentary Affairs
560221,Dominion Franchise Act electoral procedures,Government and Parliamentary Affairs
560180,distribution of military canteen profits,Veterans' and Military Affairs
560133,construction costs of Parliament Buildings,Government and Parliamentary Affairs
560213,Dominion franchise act enumeration procedures,Government and Parliamentary Affairs
559956,government shipbuilding contracts and tendering processes,Government and Parliamentary Affairs
560215,Dominion franchise act voter registration procedures,Government and Parliamentary Affairs
560203,Dominion Franchise Act legislation,Government and Parliamentary Affairs
560222,Dominion Franchise Act voter disqualifications,Government and Parliamentary Affairs
560388,government response to parliamentary questions,Government and Parliamentary Affairs
560210,appointment of election returning officers,Government and Parliamentary Affairs
560247,Dominion Franchise Act legislation,Government and Parliamentary Affairs
560358,disfranchisement provisions of the Dominion Franchise Act,Government and Parliamentary Affairs
560246,Dominion Franchise Act naturalization provisions,Government and Parliamentary Affairs
560296,Dominion franchise act legislation,Government and Parliamentary Affairs
560332,Dominion Franchise Act legislation,Government and Parliamentary Affairs
560208,appointment of revising officers under Dominion Franchise Act,Government and Parliamentary Affairs
560425,parliamentary control of interim supply expenditures,Public Finance and Taxation
560300,Dominion Franchise Act legislation,Government and Parliamentary Affairs
560226,disfranchisement provisions of the Dominion Franchise Act,Government and Parliamentary Affairs
560224,enfranchisement of foreign-born Canadians,Government and Parliamentary Affairs
560336,disenfranchisement of immigrant groups in the Dominion Franchise Act,Government and Parliamentary Affairs
560340,proposed dominion franchise act legislation,Government and Parliamentary Affairs
560356,Dominion Franchise Act and naturalization requirements,Government and Parliamentary Affairs
560432,interim supply motion for government expenditures,Public Finance and Taxation
560510,Dominion Franchise Act and naturalization requirements,Government and Parliamentary Affairs
560390,inquiry regarding Canadian public debt statistics,Public Finance and Taxation
560338,disfranchisement of naturalized citizens of enemy origin,Government and Parliamentary Affairs
560436,delay in parliamentary session and supply,Government and Parliamentary Affairs
560283,Dominion Franchise Act debate,Government and Parliamentary Affairs
560287,disenfranchisement of enemy aliens in the dominion franchise act,Government and Parliamentary Affairs
560511,Dominion franchise act eligibility provisions,Government and Parliamentary Affairs
560238,voting rights for naturalized citizens,Government and Parliamentary Affairs
560469,Dominion Franchise Act legislation,Government and Parliamentary Affairs
560567,administration of federal election notices,Government and Parliamentary Affairs
560565,methods of posting election notices,Government and Parliamentary Affairs
560529,Dominion Franchise Act amendments,Government and Parliamentary Affairs
560304,Dominion Franchise Act legislation,Government and Parliamentary Affairs
560542,Dominion Franchise Act prosecution procedures,Government and Parliamentary Affairs
560484,Dominion Franchise Act amendments,Government and Parliamentary Affairs
560293,Dominion Franchise Act voting eligibility requirements,Government and Parliamentary Affairs
560516,proposed amendments to the Dominion Franchise Act,Government and Parliamentary Affairs
560331,restrictions on the federal franchise,Government and Parliamentary Affairs
560342,voting rights for naturalized immigrants and families,Government and Parliamentary Affairs
560578,penalties for Dominion Franchise Act offences,Government and Parliamentary Affairs
560602,administration of the Dominion Franchise Act,Government and Parliamentary Affairs
560459,Dominion Franchise Act electoral machinery reform,Government and Parliamentary Affairs
560637,regulation of corporate political contributions,Government and Parliamentary Affairs
560604,administration of oaths for federal elections,Government and Parliamentary Affairs
560434,interim supply motion,Public Finance and Taxation
560541,provisions for summary conviction under election law,Government and Parliamentary Affairs
560467,Dominion Franchise Act and returning officer appointments,Government and Parliamentary Affairs
560473,Dominion Franchise Act revision,Government and Parliamentary Affairs
560477,Dominion Franchise Act and immigrant rights,Government and Parliamentary Affairs
560348,disfranchisement of naturalized citizens of enemy origin,Government and Parliamentary Affairs
560671,Dominion Franchise Act definitions,Government and Parliamentary Affairs
560615,election campaign advertising contracts,Government and Parliamentary Affairs
559437,House of Commons staff organization plan,Government and Parliamentary Affairs
560566,provisions for election notice requirements,Government and Parliamentary Affairs
560618,election campaign expenditure regulation,Government and Parliamentary Affairs
