basepk,topic,error
561214,lack of railway station facilities in Joliette,
561301,government merchant marine financial discrepancies,
561174,canada-united states railway car exchange policy,
560978,assimilation and integration of immigrants,
561229,government wartime shipbuilding programme contracts,
561278,government merchant marine operations,
561276,government shipbuilding programme costs,
561231,government shipbuilding programme expenditures,
561250,government shipbuilding contract costs,
561290,government merchant marine shipping operations,
561325,government shipbuilding programme,
561295,government-owned merchant marine policy,
561286,government merchant shipping earnings,
561294,government shipbuilding and merchant marine operations,
561319,government shipbuilding contracts,
561379,government shipbuilding subsidies,
561323,government post-war shipbuilding programme,
561367,government shipbuilding programme financial accounting,
557767,tax-free government bonds and national railway policy,
557776,Canadian national status within the British Empire,
557797,St. Lawrence river ice-breaking operations,
557795,St. Lawrence river ice jam flooding,
557785,canadian trade tariff policy,
557777,international currency exchange rates and trade balance,
557812,charges against French religious orders in Canada,
557769,national ownership of uneconomic railway lines,
557778,balance of trade and exchange rates,
557667,agricultural development and opposition to protective tariffs,
557739,vote of non-confidence in the government,
557665,agricultural development and tariff policy,
557764,impact of tariffs on currency exchange rates,
557663,tariff reduction on production implements,
557814,allegations against N. W. Rowell,
561315,government shipbuilding and operation program,
561326,government shipbuilding programme,
561413,government shipbuilding contracts and patronage,
561324,government shipbuilding programme subsidies,
561394,idling of Canadian Merchant Marine ships,
561402,Quebec port navigation and cargo scheduling,
561372,government shipbuilding contracts and expenditures,
561383,development of the Ottawa waterway system,
561368,Canadian Government Merchant Marine freight policy,
561371,Canadian Government Mercantile Marine freight rates,
561369,fitting government ships for cattle transport,
561422,government shipbuilding contracts and public expenditure,
561456,agricultural implement imports by United Grain Growers,
561475,universal military training and service,
561382,government shipbuilding for inland water transportation,
561415,government expenditure and borrowing estimates,
561385,government shipbuilding on the Ottawa river,
561444,superannuation of civil service employees,
561485,opposition to universal military training,
557613,restoration of parliamentary government and responsibility,
561420,parliamentary procedure regarding committee of supply,
561417,parliamentary oversight of government expenditures,
561334,government shipbuilding programme for unemployed veterans,
561447,Canadian Government Merchant Marine operations and revenues,
561463,analysis of elevator screenings and stock feeds,
561303,government shipbuilding programme financial accounts,
557619,observance of responsible parliamentary government,
557603,political legitimacy of the United Farmers movement,
561332,government shipbuilding programme costs,
561487,opposition to universal military training,
561451,contracts for steamer Champlain uniforms,
561483,universal compulsory military service,
561421,government shipbuilding programme budget estimates,
557634,Cabinet representation and political critique,
557682,military enlistment criteria for the Great War,
557639,criticism of the speech from the throne,
561488,adjournment of the military training debate,
561492,dismissal of George Carvill from Canadian Government Railway,
559698,standardization and grading of dairy products,
561183,government railway operating deficits,
557672,emigration of immigrants to the United States,
557717,free trade policy and agricultural class representation,
561181,Canadian National Railway management and operations,
557729,low tariff policy advocacy,
557699,Canadian national status and currency exchange rates,
557723,national tariff policy,
557711,regulation of inland and coastwise shipping rates,
557737,War-time Elections Act repeal,
557688,Canadian tariff policy,
557701,Canada's international trade balance and exchange rates,
557690,Canadian Wheat Board policy and wheat marketing,
557694,Canadian Wheat Board participation certificates,
561180,consolidation of Canadian National Railway lines,
557651,fluctuations in british pound sterling exchange rates,
557703,trade tariffs with the United States,
557655,canada's development of foreign policy,
557676,repeal of the War-time Elections Act,
557733,opposition to protective tariffs,
557645,Canada-United States exchange rate conditions,
557748,gold shipment to settle new york obligations,
557806,allegations of religious sectarianism in politics,
563698,immigration statistics,
557856,lack of public confidence in the government,
557959,1917 wartime election irregularities and patronage,
563675,St. Lawrence North Shore post office appointments,
557866,criticism of the Union Government,
557950,defence of the Orange Order,
557965,canadian tariff policy and import duties,
557820,political misconduct allegations against a cabinet minister,
563691,disposition of Dominion lands,
563808,election expenditure restrictions,
563965,administrative costs of the Dominion Franchise Act,
563953,evidence requirements for voting offences,
563980,provisions for advance polls in federal elections,
557828,federal police raids and encroachment on provincial rights,
557937,military enlistment during World War I,
563742,Grand Trunk Railway strike settlement terms,
557868,lack of government mandate for post-war governance,
563685,League of Nations authority and United States membership,
563659,Ste. Anne de Bellevue military hospital operations,
563703,St. Lawrence River power development and canalization,
563615,civil service reclassification effective date,
563707,Metabetchouan post office management complaints,
563682,dissolution of Dominion Seed Grain Purchasing Commission,
557881,Ontario school language regulations and Regulation 17,
563747,pension claims of striking Grand Trunk employees,
563620,Grand Trunk Railway acquisition agreement amendments,
563746,Grand Trunk Railway pension rights for striking employees,
563741,Grand Trunk Railway employees' pension status,
563971,fixed election day for voter accessibility,
557854,restoration of responsible government and parliamentary elections,
563857,legal definition of electoral bribery,
557870,1917 federal election and the Union Government,
563833,candidate election expenditure limits,
563761,Grand Trunk Railway pension rights,
563756,Grand Trunk Railway arbitration process,
563962,railway workers' electoral voting procedures,
563868,proposed amendments to the Dominion Franchise Act,
563966,absentee voting for commercial travellers,
563780,regulation of profiteering and cost of living,
557920,opposition to French language usage in Ontario,
563817,limitation on candidate personal election expenses,
563972,absentee voting rights for maritime sailors,
563943,election agent liability and corrupt practices penalties,
563760,Grand Trunk Railway pension liabilities,
563693,cost of the British Columbia water powers report,
563783,profiteering by middlemen in food and commodity markets,
557952,political activities of the Orange Order,
563628,federal-provincial highway construction agreements,
563720,Riviere du Gouffre navigability status,
563970,advance polling regulations for railway employees,
563789,government regulation of the newsprint industry,
563781,abolition of the Board of Commerce,
563847,election expense return penalties,
563969,absentee voting for mobile workers,
563730,civil service commission investigative expenditures and personnel,
557931,french-canadian cultural influence in Ontario,
557945,wartime military recruitment contributions,
563951,burden of proof in Dominion Franchise Act,
563961,proxy voting in federal elections,
557955,sectarian conflict between Orange Order and Roman Catholics,
563967,mail-in voting for commercial travellers,
563776,regulation of commodity prices and business profits,
563733,newsprint export embargo and paper control administration,
557876,criticism of quebec clergy and wartime recruitment,
557926,ecclesiastical influence on political life in Quebec,
563952,jurisdiction and burden of proof in electoral offences,
557903,French-Canadian settlement and expansion in Ontario,
563629,provincial highway construction plans,
563764,Grand Trunk Railway employees' pension claims,
563958,definition of election papers in Dominion Franchise Act,
557899,official status of the French language,
557924,clerical interference in politics,
563856,Dominion Franchise Act bribery provisions,
563771,post-war profiteering and high cost of living,
563960,proxy voting for absent voters,
563749,Grand Trunk Railway employee pension rights,
557935,Canadian national unity and wartime participation,
563773,regulation of foodstuff prices and storage,
563979,mail-in voting for commercial travellers,
563769,abolition of the Board of Commerce,
564099,criticism of the Grain Growers' Association,
564016,technical amendments to Dominion Franchise Act,
564153,regulation of federal election campaign expenses,
564047,prohibition of corporate election contributions,
564181,agricultural and industrial census statistics,
564117,election campaign expenses and financial statements,
564107,publicity of campaign funds,
564086,Dominion Franchise Act legislation,
564155,disclosure of political campaign subscriptions,
564051,regulation of political campaign contributions,
564050,regulation of political party campaign contributions,
564121,election campaign expenditure reporting,
563991,amendments to Dominion Franchise Act election procedures,
564054,regulation of federal campaign financing,
564094,disclosure of federal election campaign expenses,
564063,limitation of election campaign expenditures,
564114,federal by-election campaign expense reporting,
564127,principle of political recall,
564180,political recall of members of parliament,
564123,political recall of members of parliament,
564177,restrictions on corporate political campaign contributions,
564193,regulation of election campaign expenses,
564174,amendments to grain legislation clause 10,
564189,regulation of political campaign contributions,
564026,Dominion Elections Act ballot form typography,
564064,regulation of federal election campaign expenses,
564053,regulation of political campaign contributions,
564131,public disclosure of political campaign funds,
564073,regulation of federal election expenses,
564119,election campaign expenses and financing,
564129,publicity of campaign funds,
564092,campaign election expenses audit,
564315,political campaign spending regulations,
564258,bonus payments for government shipyard employees,
564194,regulation of election campaign contributions,
564206,regulation of corporate political contributions,
564219,political campaign in Saskatchewan,
564185,farmers' organization election campaign financing,
