topic,category,error
government spending and corporate subsidies,Economy & Public Finance,
provincial government fiscal management,Economy & Public Finance,
fiscal management and patronage,Economy & Public Finance,
allotment of opposition days,Parliamentary Procedure,
transportation of the handicapped program,Social Policy,
support for shipbuilding industry measures,"Sectoral Policy: Resources, Agriculture & Transport",
Ontario soft drink can production and steel industry jobs,"Sectoral Policy: Resources, Agriculture & Transport",
government employment policies and unemployment,Social Policy,
government assistance to corporations,Economy & Public Finance,
government track record on bailouts,Economy & Public Finance,
provincial prosecution of Mr. Marshall,"Justice, Rights & Immigration",
Highland Day Care Centre funding,Social Policy,
House of Commons procedure and accountability,Parliamentary Procedure,
government deficit and social safety net,Economy & Public Finance,
opposition calls for spending increases vs deficit reduction,Economy & Public Finance,
deficit spending and social safety net,Economy & Public Finance,
factors affecting Canadian dollar value,Economy & Public Finance,
defence spending and deficit reduction,Defence & National Security,
government deficit spending during recession,Economy & Public Finance,
Criminal Code hate literature provisions,"Justice, Rights & Immigration",
government contracts and shipbuilding policy,"Sectoral Policy: Resources, Agriculture & Transport",
Canada's position on Cyprus independence,Trade & Foreign Affairs,
Atlantic Fisheries restructuring bill motions,"Sectoral Policy: Resources, Agriculture & Transport",
procedure for amendments to fisheries act,Parliamentary Procedure,
Speaker's ruling on amendments to fisheries bill,Parliamentary Procedure,
unanimous consent to dispose of bill,Parliamentary Procedure,
fishing industry capital injection and privatization,"Sectoral Policy: Resources, Agriculture & Transport",
annual report on company operations,Economy & Public Finance,
amendment to bill C-170 on Crown corporations,Parliamentary Procedure,
reopening ITT-Rayonier Quebec plant,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Works and LEAD program fund allocation,Social Policy,
government job creation program disparities,Social Policy,
allocation of funds on labour surplus rates,Social Policy,
LEAD allocations and provincial funding,Social Policy,
unemployment insurance applications and staffing,Social Policy,
unemployment insurance benefits allocation,Social Policy,
taxpayer compliance and departmental auditors,Taxation,
new law's effect and implementation,Parliamentary Procedure,
Income Tax Act Section 31,Taxation,
accuracy of economic forecasts,Economy & Public Finance,
carrying over unfinished business to next session,Parliamentary Procedure,
parliamentary reform reports and order of business,Parliamentary Procedure,
interpretation of committee reports,Parliamentary Procedure,
House Leader's procedural tactics,Parliamentary Procedure,
delaying parliamentary proceedings,Parliamentary Procedure,
concurrence in reports without debate,Parliamentary Procedure,
protest U.S.S.R. sentence on Dr. Joseph Begun,Trade & Foreign Affairs,
St. Lawrence Seaway Authority administration and salaries,"Sectoral Policy: Resources, Agriculture & Transport",
CN Rail executive compensation and benefits,"Sectoral Policy: Resources, Agriculture & Transport",
CN executive compensation and benefits,"Sectoral Policy: Resources, Agriculture & Transport",
Air Canada executive compensation and benefits,"Sectoral Policy: Resources, Agriculture & Transport",
Petro-Canada logo and international subsidiaries,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Place construction in Edmonton,"Sectoral Policy: Resources, Agriculture & Transport",
Atlantic Fisheries Restructuring Act amendments,"Sectoral Policy: Resources, Agriculture & Transport",
restructuring of Atlantic Canada's fishing industry,"Sectoral Policy: Resources, Agriculture & Transport",
deferred division on supply motion,Parliamentary Procedure,
disposition of supplementary estimates,Economy & Public Finance,
Point Lepreau nuclear generating station loans,"Sectoral Policy: Resources, Agriculture & Transport",
job creation programs for youth,Social Policy,
clarification of Throne Speech youth fund,Social Policy,
superpower tension and reallocation of funds,Trade & Foreign Affairs,
job creation and training funds,Social Policy,
oil company investment and job creation,"Sectoral Policy: Resources, Agriculture & Transport",
labour training and manpower development,Social Policy,
Income Tax Act exemptions for charities,Taxation,
NATO agreement on disarmament conference,Trade & Foreign Affairs,
nuclear disarmament negotiations,Trade & Foreign Affairs,
order of business for income tax act,Parliamentary Procedure,
parliamentary reform and standing orders,Parliamentary Procedure,
order of business designation,Parliamentary Procedure,
government action on multiculturalism,Government & Electoral Affairs,
House business and timing of legislation,Parliamentary Procedure,
courtesy during Speech from the Throne debate,Parliamentary Procedure,
Canada's role in world peace and economic growth,Trade & Foreign Affairs,
cultural heritage and broadcasting policy,Government & Electoral Affairs,
Canada's national identity and future,Constitutional & Intergovernmental Relations,
PLO terrorist attack in Jerusalem,Trade & Foreign Affairs,
Pacific fishery issues,"Sectoral Policy: Resources, Agriculture & Transport",
Pacific fishery rationalization,"Sectoral Policy: Resources, Agriculture & Transport",
Cabinet decision on costly assets,Economy & Public Finance,
Sherbrooke decentralization program,Government & Electoral Affairs,
R and D tax credits for private sector,Taxation,
duty-free zones and industrial policy,"Sectoral Policy: Resources, Agriculture & Transport",
government action to reduce unemployment,Social Policy,
oil and gas drilling policy,"Sectoral Policy: Resources, Agriculture & Transport",
emerging rights and human rights organizations,"Justice, Rights & Immigration",
application of revenue laws,Taxation,
approval of offshore drilling programs,"Sectoral Policy: Resources, Agriculture & Transport",
CYI loan for King Point project in Yukon,Economy & Public Finance,
thanks for election victory,Government & Electoral Affairs,
unemployment rate increase,Economy & Public Finance,
criticism of government spending and promises,Economy & Public Finance,
peace and nuclear disarmament,Trade & Foreign Affairs,
integrity of Israel,Trade & Foreign Affairs,
Throne Speech analysis and economic equality for women,Social Policy,
"employment, social programs, and criminal justice",Social Policy,
role of opposition in policy development,Parliamentary Procedure,
loss of public and investor confidence,Economy & Public Finance,
national productivity and economic competitiveness,Economy & Public Finance,
research and development and job creation,Economy & Public Finance,
federalism and medicare funding,Constitutional & Intergovernmental Relations,
Medicare and partisan attacks,Social Policy,
labour relations and industrial strategy,"Sectoral Policy: Resources, Agriculture & Transport",
impact of taxation on entrepreneurial spirit,Taxation,
Conservative Party leadership and policy critique,Government & Electoral Affairs,
Leader of the Opposition's speech critique,Parliamentary Procedure,
opposition's election preparedness,Government & Electoral Affairs,
Leader of the Opposition's election strategy,Government & Electoral Affairs,
Conservative Party's negativism and abdication of responsibility,Government & Electoral Affairs,
Tory Party policy and economic solutions,Economy & Public Finance,
medicare funding and federal-provincial relations,Constitutional & Intergovernmental Relations,
Canada Health Act and federal-provincial funding,Constitutional & Intergovernmental Relations,
prohibition of extra billing and deterrent fees,Social Policy,
national energy policy investment and ownership,"Sectoral Policy: Resources, Agriculture & Transport",
NATO strategy and first strike policy,Defence & National Security,
disarmament and search for peace,Trade & Foreign Affairs,
Canada's position on Israel and Palestinian issue,Trade & Foreign Affairs,
philosophical critique of state and government,Government & Electoral Affairs,
federal-provincial health funding and user fees,Constitutional & Intergovernmental Relations,
federal-provincial funding formula,Constitutional & Intergovernmental Relations,
Canadian content in foreign automobiles and R&D,"Sectoral Policy: Resources, Agriculture & Transport",
income tax return processing delays,Taxation,
oil and gas drilling program,"Sectoral Policy: Resources, Agriculture & Transport",
Auditor General's report on Ministry of Transport,"Sectoral Policy: Resources, Agriculture & Transport",
maritime administration and Coast Guard fleet,"Sectoral Policy: Resources, Agriculture & Transport",
Auditor General's report on marine issues,"Sectoral Policy: Resources, Agriculture & Transport",
simplifying income tax law,Taxation,
simplifying the tax system for economic growth,Taxation,
special committee on parliamentary reform,Parliamentary Procedure,
debate on the Address in reply to the Speech from the Throne,Parliamentary Procedure,
criticism of opposition party leadership and policy,Government & Electoral Affairs,
property rights in the Constitution,Constitutional & Intergovernmental Relations,
energy policy and back-in rights,"Sectoral Policy: Resources, Agriculture & Transport",
oil and gas industry grants programs,"Sectoral Policy: Resources, Agriculture & Transport",
oil and gas resource taxation policy,Taxation,
oil and gas industry grants vs tax incentives,Taxation,
provincial hydroelectric power rates,"Sectoral Policy: Resources, Agriculture & Transport",
Sable Island natural gas development and export,"Sectoral Policy: Resources, Agriculture & Transport",
disposition of subamendment,Parliamentary Procedure,
income tax and Canada Pension Plan amendments,Taxation,
Income Tax Act amendments for R&D,Taxation,
tax credits for small business research,Taxation,
Auditor General's report on government finances,Economy & Public Finance,
Public Accounts of Canada reporting basis,Economy & Public Finance,
Public Accounts of Canada accounting standards,Economy & Public Finance,
public accounts reporting standards,Economy & Public Finance,
Auditor General's comments on government liabilities,Economy & Public Finance,
provincial transfers and youth job creation fund,Social Policy,
federal-provincial transfers for health and education,Social Policy,
Auditor General's criticisms of job programs,Social Policy,
definition of job opportunities and government administration,Government & Electoral Affairs,
Auditor General's report on oil and gas programs,"Sectoral Policy: Resources, Agriculture & Transport",
Auditor General's report on National Energy Program,"Sectoral Policy: Resources, Agriculture & Transport",
Bank of Canada market intervention,Economy & Public Finance,
point of order regarding minister's statement,Parliamentary Procedure,
Speaker ruling on minister's statement,Parliamentary Procedure,
pension reform task force committee motion,Parliamentary Procedure,
subcommittee on acid rain powers,Parliamentary Procedure,
committee work and extensions of time,Parliamentary Procedure,
parliamentary task force on visible minorities,Parliamentary Procedure,
review of Income Tax Act for artists,Taxation,
charitable organization overhead limits,Taxation,
charitable receipts and overhead,Taxation,
charitable donation tax credits,Taxation,
tax treatment for registered charities,Taxation,
Ways and Means motions and tax legislation,Taxation,
diplomatic relations with East Germany,Trade & Foreign Affairs,
diplomatic recognition of East Germany,Trade & Foreign Affairs,
consular assistance for dual nationality Canadians,"Justice, Rights & Immigration",
