basepk,topic,category,procedural_score,error_x,error_y
2201906,municipal water pollution control program,"Sectoral Policy: Resources, Agriculture & Transport",0.25,,
2201931,appointments to public service,Government & Electoral Affairs,0.0,,
2201933,federal-provincial conference on biculturalism,Constitutional & Intergovernmental Relations,0.0,,
2201935,Quebec's place in Canadian confederation,Constitutional & Intergovernmental Relations,0.0,,
2201950,vocational training instructors and vacancies,Social Policy,0.0,,
2201971,sale of houses in Edmundston,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2201999,imports of fish and fishery products by country,Trade & Foreign Affairs,0.0,,
2202002,tuberculosis and brucellosis herd testing programs,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2202027,chartered bank profits and reserves,Economy & Public Finance,0.0,,
2202036,rural development pilot project in New Brunswick,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2202102,inquiries of the ministry,Parliamentary Procedure,0.5,,
2202183,non-confidence motion on government leadership,Parliamentary Procedure,0.75,,
2202190,government indecision and lack of policy,Government & Electoral Affairs,0.5,,
2202192,nuclear warheads for weapons systems,Defence & National Security,0.25,,
2202196,parliamentary procedure on grievances,Parliamentary Procedure,0.75,,
2202208,parliamentary procedure on supply motions,Parliamentary Procedure,0.75,,
2202209,raising of grievances in supply debates,Parliamentary Procedure,0.75,,
2202210,point of order on debate content,Parliamentary Procedure,0.75,,
2202217,point of order on non-confidence motion,Parliamentary Procedure,0.75,,
2202222,points of order and debate,Parliamentary Procedure,0.75,,
2202228,order of business,Parliamentary Procedure,0.75,,
2202230,rules for debate in committee of supply,Parliamentary Procedure,0.75,,
2202240,debate on supply motion rules,Parliamentary Procedure,0.75,,
2202242,debate on amendments in committee of supply,Parliamentary Procedure,0.75,,
2202244,rules for debate on amendments,Parliamentary Procedure,0.75,,
2202245,ruling on debate scope,Parliamentary Procedure,0.75,,
2202249,imputing motives on a point of order,Parliamentary Procedure,0.75,,
2202250,no confidence motion on government leadership,Parliamentary Procedure,0.25,,
2202254,defence policy committee debate,Defence & National Security,0.25,,
2202260,national defence policy and allied relations,Defence & National Security,0.25,,
2202264,NATO nuclear missile bases and Canadian obligations,Defence & National Security,0.0,,
2202270,alleged lack of government leadership,Government & Electoral Affairs,0.25,,
2202284,Canada-US relations and government indecision,Trade & Foreign Affairs,0.25,,
2202291,point of order on debate scope,Parliamentary Procedure,0.75,,
2202292,point of order on debate scope,Parliamentary Procedure,0.75,,
2202294,fairness of debate and amendment procedure,Parliamentary Procedure,0.75,,
2202295,vote of no confidence debate,Parliamentary Procedure,0.5,,
2202297,government's handling of unemployment and economic policy,Economy & Public Finance,0.25,,
2202299,supplementary estimates and national finances,Economy & Public Finance,0.25,,
2202303,government inaction on legislation and policy,Government & Electoral Affairs,0.25,,
2202331,criticism of government performance,Government & Electoral Affairs,0.75,,
2202342,government action and decision-making,Government & Electoral Affairs,0.25,,
2202344,motion of no confidence in government,Parliamentary Procedure,0.75,,
2202407,Leader of the Opposition's indecisiveness,Government & Electoral Affairs,0.75,,
2202428,obstruction and wasted time in the house,Parliamentary Procedure,0.75,,
2202442,supply motions and house rules,Parliamentary Procedure,0.5,,
2202460,interim supply in election years,Parliamentary Procedure,0.25,,
2202469,opposition obstruction of government business,Parliamentary Procedure,0.75,,
2202489,parliamentary procedure and legislative record,Parliamentary Procedure,0.5,,
2202771,nuclear arms and defence policy,Defence & National Security,0.25,,
2202778,Canada's role in NATO defence policy,Defence & National Security,0.25,,
2202781,US intrusion into Canadian public debate,Trade & Foreign Affairs,0.25,,
2202791,Canada's identity and foreign policy,Trade & Foreign Affairs,0.25,,
2202797,order of business and legislation,Parliamentary Procedure,0.5,,
2202816,partisan attacks on opposition parties,Parliamentary Procedure,0.75,,
2202821,Canadian dollar and economic performance,Economy & Public Finance,0.25,,
2202832,Canada's industrial expansion compared to US,Economy & Public Finance,0.0,,
2202839,Canadian economic performance and growth,Economy & Public Finance,0.25,,
2202841,economic policy and social security programs,Social Policy,0.25,,
2202856,parliamentary procedure and budget debate,Parliamentary Procedure,0.75,,
2202860,eastern farmers feed grain policy,"Sectoral Policy: Resources, Agriculture & Transport",0.25,,
2202862,partisan attacks on opposition parties,Parliamentary Procedure,0.75,,
2202864,vote of confidence on legislative program,Parliamentary Procedure,0.5,,
2202865,parliamentary debate on government performance,Parliamentary Procedure,0.75,,
2202867,portable pensions and parliamentary procedure,Parliamentary Procedure,0.5,,
2202875,parliamentary debate time allocation,Parliamentary Procedure,0.75,,
2202881,defence policy and financial crisis,Defence & National Security,0.25,,
2202884,NATO nuclear deterrent review,Defence & National Security,0.0,,
2202896,NATO air division weapons and US negotiations,Defence & National Security,0.25,,
2202901,Canada's nuclear weapons policy,Defence & National Security,0.25,,
2202903,Canadian defence policy and NATO commitments,Defence & National Security,0.25,,
2202907,Canada's defence policy and nuclear weapons,Defence & National Security,0.25,,
2202976,election of Speaker,Parliamentary Procedure,0.75,,
2202977,nomination of Alan Macnaughton as Speaker,Parliamentary Procedure,0.25,,
2202978,qualifications of the Speaker of the House,Parliamentary Procedure,0.5,,
2202987,suspension of sitting,Parliamentary Procedure,0.75,,
2203008,appointment of chairman of committees,Parliamentary Procedure,0.5,,
2203011,election of deputy chairman of committees,Parliamentary Procedure,0.75,,
2203021,Canada's NATO nuclear force policy,Defence & National Security,0.25,,
2203155,Garibaldi park national park transfer,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2203168,bombings of mail boxes,"Justice, Rights & Immigration",0.0,,
2203191,sugar price increase study,Economy & Public Finance,0.0,,
2203240,dairy industry policy,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2203261,broadcasting policy report,Government & Electoral Affairs,0.25,,
2203528,Canadian NATO delegation travel arrangements,Trade & Foreign Affairs,0.0,,
2203546,discontinuance of trains Winnipeg to Saskatoon,"Sectoral Policy: Resources, Agriculture & Transport",0.25,,
2203560,international control of nuclear weapons,Trade & Foreign Affairs,0.0,,
2203572,withdrawal of refuelling aircraft from Frobisher and Fort Churchill,Defence & National Security,0.0,,
2203611,lay-off of civilian employees at Point Edward naval base,Defence & National Security,0.0,,
2203663,commonwealth trade and dominion-provincial relations,Trade & Foreign Affairs,0.5,,
2203667,"fishery limits, railway policy, pensions, redistribution, parliamentary procedure",Parliamentary Procedure,0.25,,
2203670,address in reply to speech from the throne,Parliamentary Procedure,0.25,,
2203679,government's four-year legislative program,Parliamentary Procedure,0.25,,
2203683,economic performance and growth comparison,Economy & Public Finance,0.25,,
2203686,economic proposals and farm policy,"Sectoral Policy: Resources, Agriculture & Transport",0.25,,
2203688,realized net income from farming in Canada,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2203698,Canada-US relations and fishing limits,Trade & Foreign Affairs,0.25,,
2203701,Canada's role in NATO and OAS,Trade & Foreign Affairs,0.25,,
2203748,surcharge on imports legislation,Taxation,0.25,,
2203751,establishment of economic council of Canada,Economy & Public Finance,0.0,,
2203755,municipal capital works loan program,Economy & Public Finance,0.0,,
2203759,establishment of department of industry,Government & Electoral Affairs,0.0,,
2203767,Atlantic Development Board Act amendment,Government & Electoral Affairs,0.0,,
2203775,amend Northwest Territories Act,Government & Electoral Affairs,0.0,,
2203779,establishment of Nunassiaq territory,Government & Electoral Affairs,0.0,,
2203839,international joint commission review of project,Trade & Foreign Affairs,0.0,,
2203903,civil service pay increases,Government & Electoral Affairs,0.0,,
2203985,Canada's NATO nuclear defence commitment,Defence & National Security,0.25,,
2203993,Canada's nuclear weapons policy and NATO,Defence & National Security,0.25,,
2203995,Canada's nuclear arms commitment,Defence & National Security,0.0,,
2203997,Arrow nuclear weapons commitment,Defence & National Security,0.25,,
2203999,Canada's NATO nuclear weapons commitments,Defence & National Security,0.25,,
2204001,nuclear warheads for air division role,Defence & National Security,0.0,,
2204008,nuclear weapons policy and parliamentary mandate,Defence & National Security,0.5,,
2204010,defence policy and NATO commitments,Defence & National Security,0.25,,
2204013,Starfighter aircraft readiness in Europe,Defence & National Security,0.0,,
2204015,Honest John rocket battery armament,Defence & National Security,0.0,,
2204017,training with missile warheads,Defence & National Security,0.0,,
2204021,Canadian nuclear weapons policy and NATO,Defence & National Security,0.25,,
2204026,nuclear weapons and parliamentary consultation,Defence & National Security,0.5,,
2204035,nuclear weapons and NATO defence policy,Defence & National Security,0.25,,
2204037,Canada's NATO defence policy,Defence & National Security,0.0,,
2204041,nuclear arms acquisition and parliamentary control,Defence & National Security,0.25,,
2204043,Canada's nuclear weapons policy,Defence & National Security,0.1,,
2204045,Canada's nuclear weapons policy and commitments,Defence & National Security,0.1,,
2204047,Canada's role in NORAD and nuclear weapons,Defence & National Security,0.25,,
2204049,Liberal defence policy and nuclear weapons,Defence & National Security,0.25,,
2204061,Minister of National Defence nuclear weapons policy,Defence & National Security,0.25,,
2204064,Bomarc missiles and nuclear weapons policy,Defence & National Security,0.25,,
2204066,parliamentary consultation on nuclear arms,Defence & National Security,0.5,,
2204096,Canada-US labour relations,Trade & Foreign Affairs,0.0,,
2204179,remodelling of west block conference room,Parliamentary Procedure,0.25,,
2204212,North American forestry commission meeting,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2204272,parliamentary procedure and control of finances,Parliamentary Procedure,0.5,,
2204276,parliamentary procedure and party integrity,Parliamentary Procedure,0.5,,
2204278,"employment, pensions, housing, medicare, and external aid",Social Policy,0.1,,
2204364,liaison committee for Saskatchewan affairs,Constitutional & Intergovernmental Relations,0.25,,
2204372,US farm price support program and wheat surpluses,"Sectoral Policy: Resources, Agriculture & Transport",0.25,,
2204395,power boat operation by minors,"Justice, Rights & Immigration",0.0,,
2204396,regulation of small power boats,"Justice, Rights & Immigration",0.0,,
2204410,supplementary milk payments for manufacturing,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2204442,radioactive fallout testing and monitoring,Defence & National Security,0.0,,
2204455,treatment of drug addicts,Social Policy,0.25,,
2204487,sugar prices and Combines Investigation Act,"Justice, Rights & Immigration",0.25,,
2204535,Banff motel site tenders,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2204605,national economic council,Economy & Public Finance,0.25,,
2204607,new department of industry and economic planning,Government & Electoral Affairs,0.1,,
2204657,general agreement on tariffs and trade,Trade & Foreign Affairs,0.0,,
2204660,commonwealth trade and GATT negotiations,Trade & Foreign Affairs,0.0,,
2204664,Canadian agricultural exports to UK,Trade & Foreign Affairs,0.0,,
2204665,UK agricultural policy and Canadian cereal imports,Trade & Foreign Affairs,0.0,,
2204672,UN financial obligations and Canadian support,Trade & Foreign Affairs,0.0,,
2204689,US seamen's union statement on Canada,Trade & Foreign Affairs,0.25,,
2204739,point of order on question of privilege,Parliamentary Procedure,0.75,,
2204741,question of privilege and Hansard placement,Parliamentary Procedure,0.75,,
2204752,representations regarding mail service,Government & Electoral Affairs,0.25,,
2204763,question of privilege regarding Postmaster General's statement,Parliamentary Procedure,0.75,,
2204771,military assistance to India,Defence & National Security,0.0,,
2204797,railway abandonments and transport policy,"Sectoral Policy: Resources, Agriculture & Transport",0.25,,
2204949,order of business and government agenda,Parliamentary Procedure,0.75,,
2204986,United Nations financing of peace keeping operations,Trade & Foreign Affairs,0.0,,
2204994,pesticide regulations under Food and Drugs Act,"Justice, Rights & Immigration",0.25,,
2205075,CF-104 aircraft delivery and modifications,Defence & National Security,0.0,,
2205084,air transport board regulation,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2205107,congratulations to the speaker and members,Parliamentary Procedure,0.75,,
2205109,NATO ministerial meeting and Canadian commitments,Defence & National Security,0.1,,
2205112,NATO defence and peace initiatives,Defence & National Security,0.0,,
2205127,NATO alliance and partnership,Trade & Foreign Affairs,0.0,,
2205152,NATO defence policy and Canadian forces,Defence & National Security,0.25,,
2205158,election campaign commitments on TCA base,Government & Electoral Affairs,0.25,,
2205162,election strategy and Conservative policy,Government & Electoral Affairs,0.25,,
2205164,identification of a letter from US embassy,Trade & Foreign Affairs,0.5,,
2205180,authenticity of quoted documents,Parliamentary Procedure,0.75,,
2205189,point of order on document authenticity,Parliamentary Procedure,0.75,,
2205271,house cafeteria service arrangements,Parliamentary Procedure,0.25,,
2205274,election recount for Northwest Territories,Government & Electoral Affairs,0.25,,
2205280,appointment to restaurant committee,Parliamentary Procedure,0.75,,
2205347,policy on illegal immigration amnesty,"Justice, Rights & Immigration",0.25,,
2205352,submarine acquisition and reciprocal defence orders,Defence & National Security,0.0,,
2205372,grain delivery quotas,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2205415,Trans-Canada Pipe Lines purchase approval,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2205455,representation of Drummond-Arthabaska,Parliamentary Procedure,0.25,,
2205465,point of order regarding interruptions,Parliamentary Procedure,0.75,,
2205466,dairy subsidy policy changes,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2205510,question of privilege regarding newspaper report,Parliamentary Procedure,0.75,,
2205520,tabling of government estimates and expenditure review,Economy & Public Finance,0.1,,
2205533,Canada-US defence cooperation,Defence & National Security,0.0,,
2205547,UN observer mission in the Yemen,Trade & Foreign Affairs,0.0,,
2205555,T.C.A. overhaul base in Winnipeg,"Sectoral Policy: Resources, Agriculture & Transport",0.25,,
2205578,rising price of sugar,Economy & Public Finance,0.0,,
2205579,Combines Investigation Act and sugar prices,"Justice, Rights & Immigration",0.25,,
2205581,price controls and director's report,"Justice, Rights & Immigration",0.25,,
2205585,Combines Investigation Act jurisdiction,"Justice, Rights & Immigration",0.25,,
2205619,non-aggression pacts and international relations,Trade & Foreign Affairs,0.0,,
2205633,teaching of French in northern Quebec schools,Social Policy,0.0,,
2205656,Indian affairs branch meetings,Social Policy,0.0,,
2205704,order of business for the house,Parliamentary Procedure,0.75,,
2206134,report on civil aviation planning,"Sectoral Policy: Resources, Agriculture & Transport",0.25,,
2206140,Canada-US energy and trade discussions,Trade & Foreign Affairs,0.0,,
2206205,denial of information and contempt of the House,Parliamentary Procedure,0.75,,
2206208,municipal loans for employment programs,Economy & Public Finance,0.25,,
2206250,international air line fare increases,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2206252,international air line rates,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2206258,Weldon Chan immigration status,"Justice, Rights & Immigration",0.0,,
2206297,Unemployment Insurance Act administration,Social Policy,0.0,,
2206301,re-employment of casual labourers at Point Edward naval base,Defence & National Security,0.0,,
2206341,appointment of special committee on defence,Parliamentary Procedure,0.25,,
2206345,parliamentary debate on defence policy committees,Parliamentary Procedure,0.5,,
2206349,defence policy committee establishment,Parliamentary Procedure,0.25,,
2206350,special committee on defence policy,Parliamentary Procedure,0.5,,
2206351,defence committee terms of reference,Parliamentary Procedure,0.25,,
2206361,appointment of defence committee,Parliamentary Procedure,0.25,,
2206364,defence committee debate,Parliamentary Procedure,0.75,,
2206365,point of order on committee debate scope,Parliamentary Procedure,0.75,,
2206367,committee procedure on subject debate,Parliamentary Procedure,0.75,,
2206370,committee terms of reference,Parliamentary Procedure,0.75,,
2206387,Minister of National Defence committee direction,Parliamentary Procedure,0.5,,
2206389,defence policy committee terms of reference,Parliamentary Procedure,0.5,,
2206395,defence committee and policy debate,Parliamentary Procedure,0.5,,
2206397,Canada's role in nuclear deterrence,Defence & National Security,0.1,,
2206399,re-examination of Canada's NATO role and air division,Defence & National Security,0.25,,
2206406,paid statutory holidays for federal employees,Social Policy,0.25,,
2206454,establishment of defence committee,Parliamentary Procedure,0.25,,
2206456,Canadian forces atomic weapons,Defence & National Security,0.25,,
2206460,air division overseas role,Defence & National Security,0.25,,
2206468,review of Canadian defence policy and NATO strategy,Defence & National Security,0.0,,
2206471,defence policy committee,Parliamentary Procedure,0.25,,
2206473,national policy on alliance relations,Trade & Foreign Affairs,0.25,,
2206480,F-104 aircraft procurement and utility,Defence & National Security,0.0,,
2206556,soybean price support recommendations,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2206573,federal crop insurance for fruit growers,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2206591,federal jurisdiction over sugar prices,"Justice, Rights & Immigration",0.25,,
2206598,restrictive trade practices commission sugar industry,"Justice, Rights & Immigration",0.0,,
2206615,UN peace keeping costs and external affairs committee,Trade & Foreign Affairs,0.25,,
2206635,accountability of the Canadian Broadcasting Corporation,Government & Electoral Affairs,0.25,,
2206677,anthrax disease prevention and control,Social Policy,0.0,,
2206727,Sergeant Leja's pension eligibility,Social Policy,0.0,,
2206746,appropriation for fiscal year 1964,Economy & Public Finance,0.0,,
2206748,language rights in parliamentary procedure,Parliamentary Procedure,0.75,,
2206750,interim supply bill,Parliamentary Procedure,0.25,,
2206800,interim supply debate,Parliamentary Procedure,0.5,,
2206802,unanimous consent for bill stage,Parliamentary Procedure,0.75,,
2206818,order of business for interim supply and legislation,Parliamentary Procedure,0.5,,
2206832,Canadian National Railway capital expenditures,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2206840,strontium 90 measurements in milk and air,Social Policy,0.0,,
2206845,CNR pensions for retired employees,Social Policy,0.0,,
2206846,Canadian National Railways pension amounts,Social Policy,0.0,,
2206848,retired civil servants pensions and residency,Social Policy,0.0,,
2206849,superannuation allowances for retired civil servants and widows,Social Policy,0.0,,
2206855,federal tax collection in British Columbia,Taxation,0.0,,
2206873,civil service commission competition details,Government & Electoral Affairs,0.25,,
2206879,Emergency Gold Mining Assistance Act payments,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2206882,financial assistance for new gold mining companies,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2206888,Canadian foreign aid allocations,Trade & Foreign Affairs,0.0,,
2206895,federal grants to Quebec classical colleges and universities,Social Policy,0.0,,
2206917,federal contributions to Quebec social assistance,Social Policy,0.0,,
2206933,CBC coverage extension project costs,Government & Electoral Affairs,0.0,,
2206948,N.H.A. loans approved by C.M.H.C. Fort William,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2206961,Trans-Canada Air Lines pilot furloughs,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2206964,NATO ministerial meeting hosting costs,Trade & Foreign Affairs,0.0,,
2206967,College Militaire Royal de Saint-Jean enrollment statistics,Social Policy,0.0,,
2206970,CBC television station St. John's,Government & Electoral Affairs,0.0,,
