suffix,start_index,end_index_exclusive,n_requests,jsonl,job_file,status_file,results,output
part013,48000,52000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part013.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part013.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part013.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part013.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part013.csv
part014,52000,56000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part014.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part014.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part014.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part014.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part014.csv
part015,56000,60000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part015.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part015.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part015.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part015.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part015.csv
part016,60000,64000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part016.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part016.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part016.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part016.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part016.csv
part017,64000,68000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part017.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part017.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part017.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part017.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part017.csv
part018,68000,72000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part018.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part018.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part018.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part018.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part018.csv
part019,72000,76000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part019.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part019.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part019.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part019.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part019.csv
part020,76000,80000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part020.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part020.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part020.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part020.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part020.csv
part021,80000,84000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part021.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part021.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part021.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part021.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part021.csv
part022,84000,88000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part022.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part022.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part022.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part022.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part022.csv
part023,88000,92000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part023.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part023.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part023.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part023.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part023.csv
part024,92000,96000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part024.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part024.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part024.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part024.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part024.csv
part025,96000,100000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part025.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part025.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part025.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part025.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part025.csv
part026,100000,104000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part026.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part026.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part026.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part026.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part026.csv
part027,104000,108000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part027.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part027.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part027.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part027.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part027.csv
part028,108000,112000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part028.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part028.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part028.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part028.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part028.csv
part029,112000,116000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part029.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part029.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part029.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part029.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part029.csv
part030,116000,120000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part030.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part030.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part030.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part030.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part030.csv
part031,120000,124000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part031.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part031.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part031.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part031.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part031.csv
part032,124000,124648,648,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part032.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part032.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part032.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part032.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part032.csv
