basepk,category,error
579491,Health care,
579429,Trade,
579340,Wartime,
579528,Health care,
579489,Health care,
579545,Wartime,
579550,Other,
579551,Wartime,
579270,Income and Tax,
579526,Wartime,
579547,Wartime,
579557,Other,
579558,Budget,
579559,Budget,
579447,Health care,
579567,Other,
579556,Health care,
579565,Other,
579355,Other,
579577,Budget,
579581,Other,
579573,Other,
579585,Other,
579589,Other,
579607,Budget,
579605,Budget,
579631,Budget,
579592,Other,
579591,Other,
579613,Budget,
579628,Health care,
579652,Health care,
579639,Health care,
579638,Health care,
579637,Health care,
579665,Health care,
579658,Immigration,
579647,Health care,
579683,Health care,
579643,Health care,
579697,Other,
579695,Other,
579667,Health care,
579745,Income and Tax,
579763,Income and Tax,
579760,Income and Tax,
579715,Other,
579765,Income and Tax,
579719,Other,
579766,Income and Tax,
579767,Income and Tax,
579790,Income and Tax,
579802,Income and Tax,
579779,Income and Tax,
579777,Income and Tax,
579819,Income and Tax,
579816,Income and Tax,
579817,Income and Tax,
579827,Income and Tax,
579830,Income and Tax,
579828,Income and Tax,
579831,Income and Tax,
579837,Income and Tax,
579880,Income and Tax,
579847,Income and Tax,
579856,Income and Tax,
579890,Income and Tax,
579922,Income and Tax,
579907,Income and Tax,
579930,Income and Tax,
579966,Income and Tax,
579944,Income and Tax,
579970,Income and Tax,
578930,Other,
579985,Income and Tax,
579980,Income and Tax,
578981,Income and Tax,
579982,Income and Tax,
580010,Income and Tax,
580008,Income and Tax,
580016,Income and Tax,
580009,Income and Tax,
580027,Income and Tax,
580017,Income and Tax,
580031,Income and Tax,
580011,Income and Tax,
580020,Income and Tax,
580021,Income and Tax,
580012,Income and Tax,
580041,Income and Tax,
578985,Wartime,
580036,Income and Tax,
580068,Income and Tax,
579128,Income and Tax,
580037,Income and Tax,
580112,Income and Tax,
580090,Income and Tax,
580084,Income and Tax,
580083,Income and Tax,
580081,Income and Tax,
580113,Income and Tax,
580121,Income and Tax,
580142,Income and Tax,
580135,Income and Tax,
580124,Income and Tax,
580144,Income and Tax,
580137,Income and Tax,
580139,Income and Tax,
580152,Income and Tax,
580136,Income and Tax,
580147,Income and Tax,
580167,Income and Tax,
580153,Income and Tax,
580163,Income and Tax,
580145,Income and Tax,
559700,Trade,
560097,Other,
558846,Wartime,
559997,Budget,
559962,Budget,
558739,Infrastructure,
560093,Other,
558613,Income and Tax,
558566,Wartime,
558606,Other,
560154,International relations,
559954,Infrastructure,
560098,Other,
560159,International relations,
558324,International relations,
558605,Other,
560213,Other,
560203,Other,
560331,Immigration,
560283,Other,
560001,Infrastructure,
560238,Immigration,
560434,Budget,
560388,Other,
558563,Health care,
560565,Budget,
560340,Immigration,
560516,Other,
560602,Other,
560604,Other,
560618,Other,
560661,Income and Tax,
560182,Wartime,
560671,Other,
560743,Other,
560037,Wartime,
560786,Other,
560195,Other,
560578,Income and Tax,
560511,Immigration,
560805,Other,
560484,Other,
560183,Wartime,
560392,Infrastructure,
560889,Trade,
560906,International relations,
560747,Other,
560477,Immigration,
560300,Other,
560356,Immigration,
560978,Immigration,
558446,International relations,
560467,Other,
560997,Immigration,
560293,Immigration,
560102,Other,
560933,Trade,
558499,Other,
560541,Other,
560054,Income and Tax,
557554,Other,
560666,Immigration,
560948,Other,
560763,Other,
561154,Infrastructure,
561171,Infrastructure,
561180,Infrastructure,
561160,Infrastructure,
561205,Infrastructure,
561175,Infrastructure,
557562,Other,
561215,Infrastructure,
561242,Infrastructure,
558684,International relations,
561249,Infrastructure,
560752,Other,
560348,Immigration,
561250,Infrastructure,
561058,Wartime,
560773,Other,
561026,Income and Tax,
560639,Income and Tax,
561134,Infrastructure,
561161,Infrastructure,
561371,Infrastructure,
561174,Infrastructure,
560432,Budget,
560950,Infrastructure,
561324,Budget,
560863,Trade,
560215,Other,
560755,Other,
561417,Budget,
561379,Infrastructure,
561325,Infrastructure,
561295,Infrastructure,
561463,Other,
561488,Wartime,
561420,Budget,
557619,Other,
561413,Infrastructure,
557634,Other,
557574,Other,
561172,Infrastructure,
560787,Other,
560788,Other,
561475,Wartime,
557665,Trade,
561415,Budget,
561487,Wartime,
557613,Other,
561368,Infrastructure,
561021,Wartime,
561232,Infrastructure,
561228,Infrastructure,
561372,Budget,
560566,Other,
561296,Infrastructure,
557603,Other,
561334,Infrastructure,
561385,Infrastructure,
557723,Income and Tax,
557703,Trade,
561485,Wartime,
561206,Infrastructure,
561278,Infrastructure,
557733,Trade,
557748,Income and Tax,
557764,Trade,
557785,Trade,
557699,Trade,
557769,Infrastructure,
557828,Other,
557854,Other,
557868,Budget,
557866,Other,
561290,Infrastructure,
561383,Infrastructure,
561301,Infrastructure,
561382,Infrastructure,
557881,Education,
557663,Income and Tax,
557935,Wartime,
561326,Infrastructure,
557676,Immigration,
557952,Wartime,
557667,Trade,
557955,Other,
557965,Income and Tax,
557924,Other,
557701,Trade,
557776,International relations,
563703,Infrastructure,
563693,Other,
563720,Infrastructure,
557950,Wartime,
557711,Infrastructure,
561402,Infrastructure,
557812,Wartime,
557903,Other,
561444,Other,
558584,Wartime,
557797,Infrastructure,
563629,Infrastructure,
563620,Infrastructure,
563760,Infrastructure,
563776,Trade,
557820,Other,
563780,Income and Tax,
563868,Other,
557870,Wartime,
563783,Other,
557931,Other,
557777,Income and Tax,
557806,Other,
557655,International relations,
563943,Other,
563961,Other,
561451,Other,
557651,International relations,
563965,Other,
563730,Other,
563847,Other,
564048,Other,
561203,Infrastructure,
564016,Other,
557959,Wartime,
563972,Other,
564063,Other,
564073,Income and Tax,
564026,Other,
564086,Other,
563769,Other,
564047,Other,
563951,Other,
564099,Other,
564114,Income and Tax,
557767,Budget,
563691,Other,
563856,Other,
557920,Other,
564181,Other,
563970,Other,
564092,Other,
564189,Income and Tax,
564174,Other,
560390,Budget,
564194,Other,
563682,Other,
563960,Other,
564212,Income and Tax,
557945,Wartime,
564221,Other,
564224,Other,
561062,Other,
563952,Other,
564280,Wartime,
561229,Infrastructure,
564302,Income and Tax,
564155,Income and Tax,
564239,Infrastructure,
564322,Other,
559942,Infrastructure,
563962,Other,
564329,Income and Tax,
564202,Income and Tax,
564340,Income and Tax,
564402,Infrastructure,
564439,Other,
563857,Other,
564107,Income and Tax,
564388,Wartime,
564219,Other,
564465,Infrastructure,
564131,Income and Tax,
563747,Infrastructure,
564312,Income and Tax,
560099,Other,
564414,Infrastructure,
564121,Other,
557694,Trade,
564462,Other,
564553,Other,
564482,Infrastructure,
564403,Wartime,
564147,Income and Tax,
564448,Immigration,
560790,Other,
564504,Infrastructure,
564557,Other,
564561,Other,
563953,Other,
564333,Other,
564563,Other,
564513,Infrastructure,
564191,Income and Tax,
564685,Health care,
564683,Health care,
564295,Trade,
564732,Health care,
564774,Income and Tax,
564755,Health care,
561323,Infrastructure,
564789,Budget,
564628,Health care,
564799,Income and Tax,
564826,Budget,
564829,Budget,
564820,Infrastructure,
564836,Budget,
561286,Infrastructure,
557639,Other,
561116,Infrastructure,
564838,Budget,
564850,Budget,
564659,Health care,
564461,Infrastructure,
564842,Budget,
564874,Budget,
564543,Other,
564123,Other,
564556,Other,
564690,Health care,
564916,Budget,
564783,Income and Tax,
564816,Budget,
564917,Budget,
564959,Other,
563991,Other,
564973,Infrastructure,
564851,Budget,
564976,Other,
564890,Budget,
563817,Other,
565012,Other,
564520,Infrastructure,
565013,Infrastructure,
564739,Health care,
565020,Infrastructure,
564915,Budget,
565102,Infrastructure,
564748,Health care,
565105,Infrastructure,
565104,Other,
565132,Infrastructure,
564904,Budget,
565133,Infrastructure,
565181,Other,
564206,Income and Tax,
565024,Infrastructure,
565141,Infrastructure,
565201,Other,
564457,Other,
565226,Infrastructure,
565220,Budget,
565190,Infrastructure,
565271,Infrastructure,
564709,Health care,
564273,Other,
565184,Infrastructure,
565213,Other,
564784,Income and Tax,
565363,Education,
564814,Budget,
565376,Education,
565367,Education,
565233,Other,
565398,Other,
565379,Education,
565149,Infrastructure,
565405,Budget,
564831,Budget,
561483,Wartime,
565454,Infrastructure,
565575,Budget,
565561,Infrastructure,
565147,Infrastructure,
565167,Other,
565212,Infrastructure,
565619,Budget,
565612,Budget,
565450,Budget,
565139,Infrastructure,
565634,Budget,
565543,Other,
565653,Budget,
564695,Health care,
565347,Education,
565365,Education,
565345,Education,
565671,Budget,
565551,Budget,
565673,Budget,
564811,Budget,
564182,Other,
565700,Infrastructure,
565107,Other,
565681,Trade,
565625,Budget,
565628,Budget,
565722,Infrastructure,
565682,Infrastructure,
557937,Wartime,
564185,Other,
564368,Other,
565808,Wartime,
565632,Budget,
565595,Budget,
565737,Infrastructure,
565748,Budget,
565812,International relations,
565404,Other,
557814,Other,
565677,Budget,
565633,Budget,
565893,Infrastructure,
565806,Wartime,
565664,Budget,
565768,Budget,
565679,Infrastructure,
565938,Budget,
565980,Infrastructure,
565992,Infrastructure,
565927,Budget,
565873,Other,
565874,Infrastructure,
564700,Health care,
566016,Other,
565779,Wartime,
565984,Infrastructure,
565735,Infrastructure,
566056,Budget,
566014,Infrastructure,
565995,Infrastructure,
565817,Infrastructure,
565926,Other,
565882,Budget,
566071,Other,
565503,Budget,
566102,Infrastructure,
565990,Other,
566011,Infrastructure,
566108,Infrastructure,
566132,Wartime,
566127,Other,
566032,Other,
565983,Infrastructure,
566147,Other,
561492,Infrastructure,
566166,Other,
564687,Health care,
565583,Budget,
566172,Other,
565821,Income and Tax,
566051,Infrastructure,
566180,Other,
566262,Other,
566280,Other,
566168,Other,
566099,Budget,
566044,Infrastructure,
565943,Other,
564817,Wartime,
566098,Infrastructure,
565140,Infrastructure,
566101,Other,
566303,Other,
566137,Other,
566312,Other,
566301,Other,
566321,Other,
566310,Other,
566344,Other,
565923,Other,
565930,Budget,
566216,Other,
566273,Other,
566371,Other,
566055,Infrastructure,
566392,Other,
566296,Other,
566366,Other,
566182,Other,
566417,Infrastructure,
566440,Health care,
566338,Other,
564050,Other,
566394,Other,
566467,Other,
566466,Other,
566397,Other,
565916,Other,
566479,Wartime,
566360,Other,
565626,Budget,
566177,Other,
566481,Wartime,
566515,Other,
566434,Wartime,
566450,Other,
566571,Other,
566572,Other,
566282,Other,
566525,Other,
566460,Other,
565550,Budget,
566575,Other,
566349,Other,
566576,Other,
566507,Other,
566387,Other,
565754,Budget,
566109,Infrastructure,
566597,Other,
566600,Other,
566362,Other,
566647,Other,
566674,Other,
566635,Other,
565302,Trade,
566444,Health care,
565581,Budget,
566688,Other,
566327,Other,
566574,Other,
566712,Other,
566718,Other,
566442,Other,
566531,Other,
566720,Other,
566771,Infrastructure,
566675,Other,
566645,Other,
566536,Other,
566840,Wartime,
566853,Budget,
566605,Other,
566704,Other,
566774,Infrastructure,
566697,Other,
566501,Wartime,
566908,Budget,
566926,Infrastructure,
566881,Education,
566852,Infrastructure,
567139,Trade,
567152,Infrastructure,
567126,Trade,
567176,Health care,
566770,Infrastructure,
566100,Infrastructure,
567174,Health care,
567080,Health care,
567120,Infrastructure,
567219,Health care,
567191,Health care,
567172,Health care,
567226,Health care,
567247,Health care,
563979,Other,
567164,Health care,
567260,Health care,
567239,Health care,
567223,Health care,
567276,Health care,
567271,Health care,
567272,Health care,
567281,Health care,
567205,Health care,
567217,Health care,
567287,Health care,
564797,Budget,
566255,Other,
567317,Health care,
566402,Immigration,
567277,Health care,
567286,Health care,
567380,Health care,
567195,Health care,
567267,Health care,
565361,Education,
567194,Health care,
567393,Budget,
567401,Health care,
566308,Other,
567416,Health care,
566292,Other,
567290,Health care,
567431,Other,
567404,Health care,
567344,Health care,
567386,Health care,
566076,Budget,
567256,Health care,
567439,Health care,
567309,Health care,
566302,Other,
567388,Health care,
567266,Health care,
567425,Health care,
567464,Budget,
566523,Infrastructure,
567318,Health care,
567488,Health care,
567444,Health care,
567515,Other,
567527,Wartime,
567530,Wartime,
567536,Wartime,
567419,Health care,
567472,Health care,
567542,Wartime,
567545,Wartime,
567457,Other,
566463,Income and Tax,
567349,Other,
567528,Wartime,
567398,Infrastructure,
567537,Wartime,
567474,Infrastructure,
567579,Wartime,
567526,Wartime,
567551,Wartime,
567550,Other,
567458,Infrastructure,
567532,Wartime,
566593,Other,
567086,Health care,
567549,Wartime,
567463,Infrastructure,
567611,Wartime,
567591,Wartime,
563773,Trade,
567535,Wartime,
567651,Wartime,
566768,Other,
567686,Wartime,
567687,Wartime,
567734,Health care,
566390,Other,
567701,Wartime,
567525,Wartime,
567476,Health care,
567654,Wartime,
567808,Other,
567644,Other,
567834,Infrastructure,
567816,Wartime,
567547,Wartime,
567842,Infrastructure,
566187,Other,
567819,Trade,
567810,Trade,
567652,Wartime,
567858,Infrastructure,
567893,Other,
567595,Wartime,
567772,Infrastructure,
567700,Wartime,
567736,Health care,
567942,Health care,
567958,Health care,
567496,Budget,
567443,Infrastructure,
567838,Infrastructure,
567898,Other,
567843,Trade,
567875,Other,
567859,Infrastructure,
567941,Health care,
567986,International relations,
567635,Other,
567821,Trade,
567947,Health care,
567221,Health care,
567625,Wartime,
567645,Wartime,
567801,Infrastructure,
567336,Health care,
568036,Health care,
567735,Health care,
567462,Health care,
568012,Health care,
567899,Other,
568002,Health care,
567926,Other,
568072,Health care,
567583,Wartime,
567997,Health care,
568046,Health care,
568048,Health care,
568116,Infrastructure,
567638,Other,
568078,Education,
568119,Infrastructure,
568029,Health care,
568145,Infrastructure,
568071,Health care,
568143,Infrastructure,
567951,Health care,
568014,Health care,
568141,Infrastructure,
568157,Trade,
568169,Infrastructure,
568170,Infrastructure,
568181,Income and Tax,
567243,Health care,
568037,Health care,
568007,Health care,
568138,Infrastructure,
565732,Infrastructure,
568020,Health care,
568194,Infrastructure,
568201,Infrastructure,
568226,Other,
568185,Infrastructure,
568218,Income and Tax,
567406,Budget,
568197,Infrastructure,
568149,Infrastructure,
567961,Health care,
568057,Health care,
568203,Infrastructure,
568290,Other,
568273,Other,
568133,Other,
568294,Income and Tax,
568099,Income and Tax,
568210,Infrastructure,
568176,Infrastructure,
568298,Trade,
566553,Other,
568231,Other,
568382,Other,
568225,Income and Tax,
568289,Other,
568415,Other,
568308,Other,
568314,Trade,
568373,Other,
568376,Other,
568474,Other,
568379,Other,
568412,Other,
567546,Wartime,
568506,Health care,
568516,Other,
568410,Education,
566778,Infrastructure,
568567,Health care,
568562,Health care,
568509,Other,
568590,Wartime,
567966,Health care,
567254,Health care,
568536,Health care,
568661,Infrastructure,
568569,Other,
568648,Other,
568689,Other,
568144,Infrastructure,
568526,Other,
568679,Other,
568693,Other,
568198,Infrastructure,
568704,Other,
568716,Other,
568603,Other,
568341,Other,
568724,Other,
568664,Other,
568770,Health care,
568780,Other,
568804,Trade,
567295,Health care,
568815,Other,
568811,Other,
568663,Education,
568519,Other,
568731,Other,
568685,Other,
568845,Trade,
568697,Other,
568425,Other,
568817,Trade,
568686,Other,
567860,Infrastructure,
568511,Other,
568739,Other,
568951,Trade,
568818,Other,
568786,Trade,
568994,Infrastructure,
568702,Other,
568034,Health care,
568864,Other,
568032,Health care,
561544,Other,
561563,Other,
568859,Other,
568829,Other,
568665,Other,
568953,Trade,
561540,Other,
561613,Health care,
568850,Other,
561618,Health care,
561643,Health care,
568992,Infrastructure,
561648,Health care,
567269,Health care,
568394,Other,
561680,Health care,
561712,Health care,
568219,Other,
561614,Health care,
568089,Education,
561728,Health care,
561720,Health care,
568137,Infrastructure,
561653,Health care,
561628,Health care,
561576,Health care,
561570,Health care,
561646,Health care,
561668,Health care,
561763,Health care,
568826,Other,
561714,Health care,
561716,Health care,
561749,Health care,
561783,Health care,
568839,Trade,
561804,Health care,
561796,Health care,
561809,Health care,
561822,Health care,
568949,Other,
561844,Other,
561837,Health care,
568853,Trade,
561757,Health care,
561848,Trade,
568150,Infrastructure,
561787,Health care,
561542,Other,
561890,Infrastructure,
561733,Health care,
561772,Health care,
567976,Health care,
561931,Immigration,
568966,Infrastructure,
568192,Other,
562020,Education,
566283,Other,
562061,Wartime,
562031,Income and Tax,
568349,Other,
561824,Health care,
562034,Income and Tax,
568809,Trade,
561879,Income and Tax,
566696,Other,
561870,Budget,
562093,Other,
562067,Other,
562574,Other,
568718,Other,
561847,Other,
562587,Other,
561654,Health care,
562617,Other,
562605,Other,
562647,Infrastructure,
568500,Other,
562650,Wartime,
561886,Income and Tax,
562515,Wartime,
562084,Other,
562604,Other,
562692,Budget,
561883,Budget,
562591,Other,
562686,Other,
562523,Infrastructure,
561760,Health care,
562611,Other,
562674,Other,
561901,Income and Tax,
562736,Income and Tax,
562751,International relations,
562737,Income and Tax,
562689,Other,
562675,Budget,
565998,Infrastructure,
562806,Other,
562816,Other,
562812,Other,
562590,Other,
561717,Health care,
561979,Immigration,
562712,Trade,
562741,Other,
561850,Other,
562913,Infrastructure,
562711,Other,
562756,International relations,
567182,Health care,
562760,International relations,
562973,Other,
562824,Other,
561564,Other,
566798,Budget,
563040,Other,
568831,Other,
562721,Income and Tax,
562005,Infrastructure,
563104,Other,
562104,Other,
562920,Other,
563022,Other,
562815,Other,
563092,Other,
563149,Wartime,
563187,Other,
563089,Other,
563216,Other,
563211,Other,
563023,Other,
563233,Other,
563231,Other,
562576,Other,
563247,Other,
562008,Infrastructure,
563291,Other,
563221,Other,
562684,Other,
562703,Infrastructure,
562934,Other,
563261,Other,
562936,Other,
561567,Other,
563169,Other,
563374,Other,
564385,Infrastructure,
563103,Other,
563535,Other,
563609,Other,
562820,Other,
563567,Other,
563533,Other,
563523,Other,
563606,Budget,
563342,Other,
571754,Other,
563296,Other,
571837,Infrastructure,
563090,Other,
563346,Other,
563382,Other,
563398,Other,
571814,Budget,
571860,Infrastructure,
562942,Other,
563463,Other,
562754,Wartime,
563392,Other,
571868,Infrastructure,
571883,Other,
562713,Trade,
571897,Other,
561683,Health care,
571919,Other,
571917,Other,
566776,Trade,
562089,Other,
571969,Other,
571962,Other,
571960,Other,
562106,Other,
571985,Immigration,
572067,Immigration,
571899,Other,
571920,Other,
571850,Infrastructure,
571786,Infrastructure,
571856,Infrastructure,
572103,Other,
562818,Other,
571892,Other,
572116,Immigration,
572141,Immigration,
572073,Immigration,
571891,Other,
572080,Immigration,
571932,Other,
571981,Other,
561539,Other,
572060,Immigration,
572120,Immigration,
572123,Immigration,
562603,Other,
572299,Health care,
572148,Other,
572134,Immigration,
572288,Other,
572327,Health care,
572239,Other,
572249,Budget,
572230,Immigration,
572130,Immigration,
572377,Other,
572248,Budget,
561789,Health care,
572108,Immigration,
571987,Immigration,
572388,Other,
572341,Health care,
572403,Other,
572523,Education,
572524,Other,
572532,Other,
572566,Education,
572471,Other,
572117,Immigration,
572228,Immigration,
572323,Health care,
572560,Education,
572597,Other,
572592,Other,
572440,Other,
572149,Immigration,
572093,Other,
572568,Other,
572671,Health care,
572687,Other,
572673,Health care,
572457,Other,
572652,Wartime,
572685,Other,
558497,Other,
560180,Wartime,
558289,Other,
560947,Other,
561068,Infrastructure,
560984,Education,
560679,Other,
560358,Other,
560637,Other,
560923,Infrastructure,
557566,Trade,
560247,Other,
558603,Other,
560744,Other,
561016,Other,
558515,Other,
560038,Wartime,
560900,Wartime,
560166,Wartime,
558607,Other,
558999,Budget,
560510,Immigration,
560714,Other,
560336,Immigration,
558891,International relations,
558947,Other,
560774,Other,
561036,International relations,
560684,Other,
560864,Trade,
561051,Infrastructure,
