basepk,chunk_index,topic,category,procedural_score,error_x,error_y
2199575,0,divorce bill for Marion Ruth Catherine Slattery,"Justice, Rights & Immigration",0.0,,
2199575,1,handling of divorce bill questions,"Justice, Rights & Immigration",0.25,,
2199575,2,domicile and marital separation,"Justice, Rights & Immigration",0.0,,
2199575,3,divorce and marriage reconciliation,"Justice, Rights & Immigration",0.0,,
2199575,4,family court services for marriage counselling,"Justice, Rights & Immigration",0.0,,
2199575,5,family court and marriage reconciliation services,"Justice, Rights & Immigration",0.0,,
2199575,6,domestic abuse and availability of services,"Justice, Rights & Immigration",0.0,,
2199575,7,domestic violence and separation,"Justice, Rights & Immigration",0.0,,
2199575,8,personal testimony regarding marital separation,"Justice, Rights & Immigration",0.0,,
2199591,0,divorce bills adjudication,"Justice, Rights & Immigration",0.25,,
2199591,1,legal procedure and witness testimony,"Justice, Rights & Immigration",0.25,,
2199591,2,domestic violence,"Justice, Rights & Immigration",0.0,,
2199591,3,adultery charge legal aspects,"Justice, Rights & Immigration",0.0,,
2199591,4,witness testimony in divorce case,"Justice, Rights & Immigration",0.25,,
2199635,0,York-Scarborough convention,Parliamentary Affairs,0.25,,
2199646,0,Canada's nuclear weapons policy,Foreign Affairs & Defence,0.25,,
2199646,1,Canada's contribution to nuclear arms proliferation,Foreign Affairs & Defence,0.0,,
2199646,2,NATO nuclear strategy and deployment,Foreign Affairs & Defence,0.0,,
2199646,3,US strategic nuclear forces and NATO,Foreign Affairs & Defence,0.0,,
2199646,4,Canada's nuclear weapons policy and NORAD,Foreign Affairs & Defence,0.0,,
2199646,5,Canada's position on nuclear weapons in NATO,Foreign Affairs & Defence,0.0,,
2199646,6,tactical nuclear weapons and escalation,Foreign Affairs & Defence,0.0,,
2199854,0,nuclear warheads availability and disarmament,Foreign Affairs & Defence,0.0,,
2199854,1,NATO nuclear force and disarmament,Foreign Affairs & Defence,0.0,,
2199854,2,multilateral nuclear force and defence policy,Foreign Affairs & Defence,0.0,,
2199864,0,debate time allocation,Parliamentary Affairs,0.75,,
2199874,0,external affairs and national defence,Foreign Affairs & Defence,0.25,,
2199874,1,national defence and nuclear weapons,Foreign Affairs & Defence,0.0,,
2199874,2,Leader of the Opposition's remarks on nuclear warheads,Foreign Affairs & Defence,0.25,,
2199874,3,General Norstad and Hitler,Foreign Affairs & Defence,0.25,,
2199874,4,Canadian nationalism and US influence,Foreign Affairs & Defence,0.25,,
2199874,5,Social Credit defence policy on mass destruction weapons,Foreign Affairs & Defence,0.0,,
2199883,0,unanimous consent to proceed,Parliamentary Affairs,0.75,,
2199888,0,Canada acquiring defensive nuclear weapons,Foreign Affairs & Defence,0.0,,
2199888,1,defence policy and NORAD commitments,Foreign Affairs & Defence,0.25,,
2199888,2,defence policy and nuclear weapons,Foreign Affairs & Defence,0.25,,
2199888,3,fighting communism with ideas,Foreign Affairs & Defence,0.0,,
2199888,4,social credit and international relations,Foreign Affairs & Defence,0.25,,
2199888,5,Canada's contribution to western alliance security,Foreign Affairs & Defence,0.0,,
2199888,6,Canada's contribution to military alliance,Foreign Affairs & Defence,0.25,,
2199919,0,Prime Minister's fitness,Parliamentary Affairs,0.25,,
2199924,0,withdrawal of remark,Parliamentary Affairs,0.75,,
2199949,0,orders of the day,Parliamentary Affairs,0.75,,
2199957,0,definition of surplus strips,Economic & Fiscal Policy,0.0,,
2199978,0,bankruptcies and insolvencies statistics,Economic & Fiscal Policy,0.0,,
2200009,0,royal commission on banking and finance,Economic & Fiscal Policy,0.0,,
2200074,0,parliamentary approval of spending estimates,Parliamentary Affairs,0.25,,
2200140,0,fisheries commission report to committee,Parliamentary Affairs,0.25,,
2200211,0,order of business,Parliamentary Affairs,0.75,,
2200242,0,debate scope in committee,Parliamentary Affairs,0.75,,
2200316,0,government spending and national policy,Economic & Fiscal Policy,0.0,,
2200316,1,municipalities spending tax moneys before budgets,Economic & Fiscal Policy,0.0,,
2200321,0,National Economic Development Board Act,Economic & Fiscal Policy,0.25,,
2200486,0,statement regarding question,Parliamentary Affairs,0.75,,
2200529,0,international north Pacific fisheries commission,Agriculture & Natural Resources,0.0,,
2200657,0,full employment,Economic & Fiscal Policy,0.25,,
2200657,1,unemployment in British Columbia timber industry,Economic & Fiscal Policy,0.0,,
2200657,2,winter works program and economic development,Economic & Fiscal Policy,0.25,,
2200657,3,financing of municipal works,Economic & Fiscal Policy,0.0,,
2200657,4,municipal credit board for public works,Economic & Fiscal Policy,0.25,,
2200672,0,consultation on economic organizations,Economic & Fiscal Policy,0.25,,
2200672,1,appointments to national productivity council,Economic & Fiscal Policy,0.0,,
2200672,2,appointment to national economic development board,Economic & Fiscal Policy,0.0,,
2200672,3,national economic board appointment and purpose,Economic & Fiscal Policy,0.0,,
2200672,4,consultation on board appointments,Economic & Fiscal Policy,0.0,,
2200749,0,member criticism,Parliamentary Affairs,0.75,,
2200749,1,productivity council report on bill,Economic & Fiscal Policy,0.0,,
2200751,0,government acceptance of amendment,Parliamentary Affairs,0.25,,
2200751,1,consultation on labour appointments,Economic & Fiscal Policy,0.25,,
2200751,2,appointments to boards and commissions,Government Operations & Ethics,0.25,,
2200793,0,fair prices through supply and demand,Economic & Fiscal Policy,0.0,,
2200818,0,guarantees in elections,Parliamentary Affairs,0.5,,
2200820,0,economic policy formulation assistance funds,Economic & Fiscal Policy,0.0,,
2200820,1,National Economic Development Board,Economic & Fiscal Policy,0.0,,
2200820,2,economic planning and ministry survival,Economic & Fiscal Policy,0.25,,
2200820,3,qualifications for economic advisor to cabinet,Economic & Fiscal Policy,0.0,,
2200820,4,appointments to economic course setting,Economic & Fiscal Policy,0.25,,
2200820,5,pensions and responsible economic policy,Social Policy,0.25,,
2200823,0,economic and financial policy,Economic & Fiscal Policy,0.25,,
2200924,0,St. Eustache post office enlargement,Government Operations & Ethics,0.0,,
2200955,0,unemployment insurance fund,Social Policy,0.0,,
2201083,0,trans-Canada highway funding,Economic & Fiscal Policy,0.0,,
2201111,0,correction of press error,Parliamentary Affairs,0.25,,
2201134,0,election campaign statements on economy,Economic & Fiscal Policy,0.25,,
2201134,1,Conservative election predictions on employment,Economic & Fiscal Policy,0.25,,
2201134,2,unemployment statistics and government statements,Economic & Fiscal Policy,0.0,,
2201134,3,unemployment rate statistics,Economic & Fiscal Policy,0.0,,
2201134,4,unemployment rate and economic performance,Economic & Fiscal Policy,0.0,,
2201134,5,criticism of government economic policy,Economic & Fiscal Policy,0.25,,
2201137,0,minister's foreign exchange position,Economic & Fiscal Policy,0.25,,
2201175,0,creation of a committee,Parliamentary Affairs,0.5,,
2201195,0,improving parliamentary procedures,Parliamentary Affairs,0.25,,
2201195,1,improving parliamentary procedures,Parliamentary Affairs,0.25,,
2201195,2,reform of house procedures and debate length,Parliamentary Affairs,0.5,,
2201195,3,length of speeches in parliament,Parliamentary Affairs,0.5,,
2201195,4,time limits for speeches,Parliamentary Affairs,0.5,,
2201195,5,parliamentary procedure reform,Parliamentary Affairs,0.25,,
2201223,0,United States government statements,Foreign Affairs & Defence,0.25,,
2201267,0,urgency of debate on motions,Parliamentary Affairs,0.5,,
2201267,1,urgency of debate on a motion,Parliamentary Affairs,0.75,,
2201267,2,US state department statement on Canadian public interest,Foreign Affairs & Defence,0.25,,
2201267,3,urgency of debate under standing order 26,Parliamentary Affairs,0.75,,
2201267,4,adjournment motion on urgent matter,Parliamentary Affairs,0.75,,
2201272,0,United States-Canadian joint negotiations,Foreign Affairs & Defence,0.25,,
2201335,0,suspension of private members' hour,Parliamentary Affairs,0.75,,
2201385,0,general terms of a motion,Parliamentary Affairs,0.5,,
2201385,1,correspondence on surcharge and imports order,Trade & Industry,0.0,,
2201399,0,privileged advice to government officials,Government Operations & Ethics,0.0,,
2201407,0,legality of surcharges,Trade & Industry,0.25,,
2201411,0,role of the clerk of the privy council,Government Operations & Ethics,0.25,,
2201423,0,parliamentary principle vs bureaucratic control,Government Operations & Ethics,0.5,,
2201445,0,order of business,Parliamentary Affairs,1.0,,
2201462,0,legality of orders in council,Government Operations & Ethics,0.25,,
2201475,0,defence policy and continental defence,Foreign Affairs & Defence,0.25,,
2201503,0,defence policy statements,Foreign Affairs & Defence,0.0,,
2201503,1,anti-nuclear speeches,Foreign Affairs & Defence,0.25,,
2201553,0,NATO unity and Prime Minister's remarks,Foreign Affairs & Defence,0.25,,
2201588,0,Canada-United States defence committee,Foreign Affairs & Defence,0.0,,
2201715,0,unemployment insurance act amendments,Social Policy,0.0,,
2201747,0,family living costs and unemployment insurance,Social Policy,0.0,,
2201747,1,unemployment insurance benefits adequacy,Social Policy,0.0,,
2201747,2,unemployment insurance and welfare benefits,Social Policy,0.0,,
2201747,3,unemployment and national tragedy,Social Policy,0.0,,
2201747,4,parliamentary salaries and unemployment insurance,Social Policy,0.75,,
2201820,0,unemployment benefits figures,Social Policy,0.25,,
2201824,0,unemployment figures and parliamentary awareness,Social Policy,0.0,,
2201824,1,unemployment insurance fund balance,Social Policy,0.0,,
2201824,2,unemployment insurance fund balance,Social Policy,0.0,,
2201835,0,provincial-federal government responsibilities,Intergovernmental & Constitutional Affairs,0.25,,
2201858,0,labour estimates,Social Policy,0.5,,
2201861,0,Industrial Supply-Labour Relations and Disputes Investigation Act,Trade & Industry,0.0,,
2201861,1,compulsory union dues and membership,Trade & Industry,0.0,,
2201861,2,amendment to industrial relations act,Trade & Industry,0.25,,
2201861,3,suggestion to Social Credit party,Parliamentary Affairs,0.25,,
2201861,4,political strategy and party alliances,Parliamentary Affairs,0.5,,
2201861,5,Canadian trainmen's union material distribution,Trade & Industry,0.0,,
2201861,6,check-off of union dues,Trade & Industry,0.25,,
2201861,7,Industrial Relations and Disputes Investigation Act,Trade & Industry,0.25,,
2201861,8,check-off for labour union men,Trade & Industry,0.25,,
2201861,9,personal implications of recent upsurge,Social Policy,0.25,,
2201861,10,labour unions and railway employment,Trade & Industry,0.0,,
2201861,11,railway unions and Canadian nationalism,Trade & Industry,0.25,,
2201861,12,Canadian railway unions and labour relations,Trade & Industry,0.0,,
2201891,0,welfare of the people of Canada,Social Policy,0.25,,
2201893,0,private member's bill on government responsibility,Government Operations & Ethics,0.25,,
2201893,1,amendment to the Criminal Code,"Justice, Rights & Immigration",0.0,,
2201893,2,private enterprise and pollution control,Trade & Industry,0.0,,
2201920,0,resignation as minister of national defence,Foreign Affairs & Defence,0.5,,
2201920,1,nuclear arms for European forces,Foreign Affairs & Defence,0.0,,
2201920,2,"resignation from cabinet, nuclear weapons policy",Foreign Affairs & Defence,0.25,,
2201976,0,public works on Grand Cascapedia river,Agriculture & Natural Resources,0.0,,
2202014,0,preservation of Sir John Johnson house,Government Operations & Ethics,0.0,,
2202068,0,civil service employment of Yvon Guimond,Government Operations & Ethics,0.0,,
2202112,0,parliamentary defence committee,Foreign Affairs & Defence,0.25,,
2202294,0,order of debate on amendments,Parliamentary Affairs,0.75,,
2202294,1,fairness of debate on amendments,Parliamentary Affairs,0.75,,
2202294,2,orderly debate and control of discussion,Parliamentary Affairs,0.75,,
2202355,0,government responsibility and election timing,Parliamentary Affairs,0.25,,
2202355,1,debate on supply motions and estimates,Parliamentary Affairs,0.25,,
2202364,0,praise for Canadian people,Parliamentary Affairs,0.25,,
2202471,0,opposition responsibility and government business,Parliamentary Affairs,0.75,,
2202511,0,minister's report on NATO commitments,Foreign Affairs & Defence,0.0,,
2202511,1,government reporting on NATO commitments,Foreign Affairs & Defence,0.25,,
2202517,0,Canada's NATO commitment,Foreign Affairs & Defence,0.0,,
2202517,1,Canada-US defence relations,Foreign Affairs & Defence,0.0,,
2202645,0,butter consumer subsidy,Economic & Fiscal Policy,0.0,,
2202703,0,wheat sales negotiations,Agriculture & Natural Resources,0.25,,
2202704,0,Canadian wheat board export performance,Agriculture & Natural Resources,0.0,,
2202722,0,north Pacific fisheries commission policy,Agriculture & Natural Resources,0.25,,
2202726,0,salmon runs and hydro installations,Agriculture & Natural Resources,0.0,,
2202737,0,federal assistance for technical schools,Social Policy,0.0,,
2202856,0,parliamentary strategy and economic fears,Parliamentary Affairs,0.5,,
2202856,1,supply bills and Governor General's warrants,Parliamentary Affairs,0.25,,
2202942,0,media coverage of political parties,Government Operations & Ethics,0.5,,
2202944,0,opposition criticism of government,Parliamentary Affairs,0.75,,
2202967,0,adjournment of the house,Parliamentary Affairs,0.75,,
2202980,0,Mr. Macnaughton's nomination as Speaker,Parliamentary Affairs,0.25,,
2202982,0,nomination of Mr. Macnaughton to Speaker's chair,Parliamentary Affairs,0.25,,
2202982,1,election of Speaker,Parliamentary Affairs,0.75,,
2202982,2,parliamentary tradition and the role of the speaker,Parliamentary Affairs,0.25,,
2203030,0,Quebec tax transfer request,Intergovernmental & Constitutional Affairs,0.0,,
2203078,0,winter works incentive program,Economic & Fiscal Policy,0.25,,
2203119,0,parliamentary consultation on nuclear warheads,Foreign Affairs & Defence,0.25,,
2203140,0,Minister of Veterans Affairs misleading public,Government Operations & Ethics,0.25,,
2203185,0,departmental documents review,Government Operations & Ethics,0.25,,
2203594,0,legal actions against government,"Justice, Rights & Immigration",0.25,,
2203617,0,drugs and food contamination,Social Policy,0.0,,
2203618,0,fisheries committee study,Agriculture & Natural Resources,0.25,,
2203667,0,national fishery development and 12-mile limit,Agriculture & Natural Resources,0.0,,
2203667,1,international fisheries agreement,Agriculture & Natural Resources,0.0,,
2203667,2,railway payments and long term transportation measures,Trade & Industry,0.0,,
2203667,3,contributory pensions and train service,Social Policy,0.25,,
2203667,4,contributory pensions and survivor benefits,Social Policy,0.0,,
2203667,5,parliamentary representation and procedure,Parliamentary Affairs,0.25,,
2203667,6,parliamentary procedure and sitting hours,Parliamentary Affairs,0.5,,
2203667,7,parliamentary procedure reform,Parliamentary Affairs,0.75,,
2203667,8,address on the throne economic and social advance,Parliamentary Affairs,0.25,,
2203711,0,parliamentary indecision and leadership failure,Parliamentary Affairs,0.5,,
2203711,1,parliamentary responsibility and government action,Parliamentary Affairs,0.2,,
2203759,0,establishment of department of industry,Trade & Industry,0.0,,
2203759,1,area development agency and salaries act amendment,Government Operations & Ethics,0.0,,
2203763,0,ministers of agriculture for east and west,Agriculture & Natural Resources,0.0,,
2203833,0,Stanley park sea wall grant,Government Operations & Ethics,0.0,,
2203869,0,ministerial responsibility and constituency questions,Government Operations & Ethics,0.5,,
2203999,0,Canada's NATO defence commitments,Foreign Affairs & Defence,0.0,,
2203999,1,Canada's NATO commitments and F-104 delivery,Foreign Affairs & Defence,0.0,,
2203999,2,Canada's nuclear arms commitment in NATO,Foreign Affairs & Defence,0.25,,
2203999,3,bilateral agreement on nuclear arms,Foreign Affairs & Defence,0.0,,
2203999,4,NATO nuclear deterrent and disarmament,Foreign Affairs & Defence,0.0,,
2203999,5,NATO nuclear tactical deterrent and disarmament,Foreign Affairs & Defence,0.0,,
2204000,0,commitment and negotiation on an agreement,Foreign Affairs & Defence,0.0,,
2204001,0,collective defence means,Foreign Affairs & Defence,0.0,,
2204001,1,nuclear warheads for air division,Foreign Affairs & Defence,0.0,,
2204090,0,NATO disengagement and Soviet proposal,Foreign Affairs & Defence,0.0,,
2204211,0,North American forestry commission meeting,Agriculture & Natural Resources,0.0,,
2204269,0,notice of bond issues,Economic & Fiscal Policy,0.25,,
2204279,0,congratulations to Speaker and appreciation for speeches,Parliamentary Affairs,0.75,,
2204279,1,Prime Minister Pearson's role in NATO,Foreign Affairs & Defence,0.0,,
2204279,2,election campaign and speech from the throne,Parliamentary Affairs,0.25,,
2204279,3,Conservative candidate's campaign activities,Parliamentary Affairs,0.25,,
2204279,4,election campaign irregularities and candidate eligibility,Parliamentary Affairs,0.5,,
2204406,0,questions on orders of the day,Parliamentary Affairs,0.75,,
2204502,0,abolition of taxes based on savings,Economic & Fiscal Policy,0.25,,
2204567,0,party leadership and representation of common people,Parliamentary Affairs,0.25,,
2204567,1,John Diefenbaker Conservative party,Parliamentary Affairs,0.75,,
2204589,0,Canada's economic performance under Diefenbaker,Economic & Fiscal Policy,0.0,,
2204589,1,Atlantic development board legislation,Economic & Fiscal Policy,0.25,,
2204589,2,unemployment and government appointments,Social Policy,0.25,,
2204595,0,timber board layoffs and unemployment,Social Policy,0.25,,
2204603,0,unemployment and departmental improvement,Social Policy,0.0,,
2204603,1,criticism of government agricultural policy,Agriculture & Natural Resources,0.25,,
2204607,0,national economic development council,Economic & Fiscal Policy,0.0,,
2204607,1,new department of industry,Trade & Industry,0.0,,
2204607,2,stimulating scientific and industrial research,Trade & Industry,0.0,,
2204607,3,industrial innovation and employment,Trade & Industry,0.0,,
2204607,4,Canadian ownership in industry,Trade & Industry,0.0,,
2204607,5,uranium processing and export,Trade & Industry,0.0,,
2204607,6,selling off crown corporations,Government Operations & Ethics,0.0,,
2204607,7,promoting Canadian ownership of industry,Trade & Industry,0.0,,
2204607,8,subsidies for declining industries vs. economic industries,Trade & Industry,0.0,,
2204607,9,economic policy and individual freedom,Economic & Fiscal Policy,0.1,,
2204607,10,budget deficits and international balance of payments,Economic & Fiscal Policy,0.0,,
2204607,11,economic projections and national debt,Economic & Fiscal Policy,0.0,,
2204607,12,national economic council and department of industry,Trade & Industry,0.1,,
2204633,0,municipal loan fund for job creation,Economic & Fiscal Policy,0.0,,
2204633,1,department of industry to solve technical problems,Trade & Industry,0.0,,
2204633,2,encouraging research and development,Trade & Industry,0.0,,
2204633,3,industry department and tariff policy,Trade & Industry,0.0,,
2204633,4,encouraging domestic industry and production,Trade & Industry,0.0,,
2204633,5,Canadian development corporation financing,Trade & Industry,0.0,,
2204633,6,providing risk capital for industry,Trade & Industry,0.0,,
2204633,7,retraining for jobs affected by automation,Social Policy,0.0,,
2204633,8,economic recovery programs,Economic & Fiscal Policy,0.0,,
2204663,0,commonwealth trading arrangement,Trade & Industry,0.25,,
2204663,1,commonwealth trade and GATT conference,Trade & Industry,0.0,,
2204663,2,GATT trade negotiations and trade adjustment act,Trade & Industry,0.0,,
2204663,3,compensation for economic dislocation from tariff adjustments,Trade & Industry,0.25,,
2204705,0,question period notice,Parliamentary Affairs,0.75,,
2204742,0,printing of Hansard proceedings,Parliamentary Affairs,0.75,,
2204755,0,point of order regarding proofs,Parliamentary Affairs,0.75,,
2204755,1,access to Hansard record,Parliamentary Affairs,0.75,,
2204763,0,question of privilege regarding Postmaster General's statement,Parliamentary Affairs,0.75,,
2204763,1,Postmaster General's statement on contravening act,Parliamentary Affairs,0.25,,
2204852,0,parliamentary reform and efficiency,Parliamentary Affairs,0.25,,
2204852,1,British North America Act and confederation,Intergovernmental & Constitutional Affairs,0.0,,
2204852,2,BNA Act interpretation and Quebec's place in confederation,Intergovernmental & Constitutional Affairs,0.0,,
2204949,0,ending debate on government business,Parliamentary Affairs,0.75,,
2204949,1,order of business,Parliamentary Affairs,0.75,,
2204949,2,interim supply for agriculture estimates,Agriculture & Natural Resources,0.25,,
2204961,0,ministerial conduct in agriculture,Government Operations & Ethics,0.25,,
2205017,0,export volume and profits for forest industry,Trade & Industry,0.0,,
2205025,0,federal penitentiary site location,"Justice, Rights & Immigration",0.0,,
2205042,0,sugar price increase and supply,Economic & Fiscal Policy,0.0,,
2205062,0,provincial program applications,Social Policy,0.25,,
2205084,0,air transport board regulation,Trade & Industry,0.0,,
2205187,0,rules of the house,Parliamentary Affairs,0.75,,
2205201,0,forged statement by Secretary of State,Parliamentary Affairs,0.25,,
2205209,0,question of privilege regarding forged letter,Parliamentary Affairs,0.75,,
2205237,0,removal of Mr. McKay,Parliamentary Affairs,0.25,,
2205257,0,changes to the official report,Parliamentary Affairs,0.75,,
2205373,0,agriculture committee and wheat board,Agriculture & Natural Resources,0.25,,
2205399,0,C.N.R. car repair depot in Hanna,Trade & Industry,0.25,,
2205416,0,Trans-Canada pipe lines equity stock,Trade & Industry,0.25,,
2205419,0,trans-Canada pipe line ownership,Trade & Industry,0.0,,
2205428,0,tenderers for a project,Trade & Industry,0.0,,
2205463,0,election campaign assertions,Government Operations & Ethics,0.25,,
2205481,0,previous government's departmental appointments,Government Operations & Ethics,0.25,,
2205487,0,bilingualism and biculturalism in Canada,Intergovernmental & Constitutional Affairs,0.0,,
2205487,1,recognition of Canada's bilingual character,Intergovernmental & Constitutional Affairs,0.0,,
2205487,2,English-speaking Canadians and Quebec's grievances,Intergovernmental & Constitutional Affairs,0.25,,
2205487,3,royal commission on biculturalism and tax sharing,Intergovernmental & Constitutional Affairs,0.0,,
2205487,4,federal-provincial revenue sharing and equalization,Intergovernmental & Constitutional Affairs,0.1,,
2205487,5,teaching of French and bilingualism,Social Policy,0.0,,
2205487,6,CBC French language broadcasting expansion,Social Policy,0.0,,
2205487,7,language instruction and C.B.C. French network,Social Policy,0.0,,
2205487,8,federal assistance for language laboratories,Social Policy,0.0,,
2205487,9,bilingual instruction in provinces,Social Policy,0.25,,
2205487,10,federal grants for universities,Social Policy,0.0,,
2205487,11,federal financing of university capital grants,Social Policy,0.0,,
2205487,12,federal assistance for Simon Fraser university,Social Policy,0.0,,
2205487,13,municipal development and loan board,Economic & Fiscal Policy,0.0,,
2205492,0,municipal development and loan board,Economic & Fiscal Policy,0.0,,
2205492,1,member of parliament's motivation,Government Operations & Ethics,0.0,,
2205492,2,admiration for Prime Minister Pearson,Government Operations & Ethics,0.0,,
2205511,0,denial of attending dinner with Mr. Banks,Government Operations & Ethics,0.5,,
2205533,0,Canada-United States defence co-operation,Foreign Affairs & Defence,0.0,,
2205550,0,Canada's role in UN financial crisis,Foreign Affairs & Defence,0.0,,
2205562,0,TCA repair depot move from Winnipeg,Trade & Industry,0.0,,
2205573,0,clarification of previous statements,Parliamentary Affairs,0.75,,
2205649,0,congratulations to minister,Government Operations & Ethics,0.5,,
2205656,0,federal government representatives at Indian affairs meeting,Indigenous & Northern Affairs,0.0,,
2205656,1,predecessor's courtesies and band meetings,Parliamentary Affairs,0.0,,
2205684,0,congratulations to new Speaker and members,Parliamentary Affairs,0.75,,
2205684,1,representation of the constituency of Cartier,Parliamentary Affairs,0.0,,
2205684,2,immigrants and the multicultural nature of Canada,"Justice, Rights & Immigration",0.0,,
2205684,3,immigration and its contribution to national greatness,"Justice, Rights & Immigration",0.0,,
2205684,4,Albert Einstein and Enrico Fermi,Foreign Affairs & Defence,0.0,,
2205684,5,Canada's relationship with the United States,Foreign Affairs & Defence,0.0,,
2205684,6,Canada-US relations and defence,Foreign Affairs & Defence,0.25,,
2205684,7,Canada's international popularity and US relations,Foreign Affairs & Defence,0.25,,
2205684,8,Canada-US relations and nuclear deterrent,Foreign Affairs & Defence,0.25,,
2206141,0,Canada-US gas imports discussion,Trade & Industry,0.25,,
2206153,0,strategic air command flights over Canada,Foreign Affairs & Defence,0.0,,
2206180,0,sugar prices and the canning industry,Trade & Industry,0.0,,
2206249,0,air fares on the Atlantic route,Trade & Industry,0.0,,
2206288,0,CBC radio broadcast about nuclear squadrons,Foreign Affairs & Defence,0.25,,
2206338,0,house seating plan,Parliamentary Affairs,0.25,,
2206345,0,parliamentary debate on defence policy,Foreign Affairs & Defence,0.25,,
2206345,1,defence committee terms of reference,Foreign Affairs & Defence,0.25,,
2206345,2,defence policy and committee discussion,Foreign Affairs & Defence,0.25,,
2206365,0,debate scope on committee referral,Parliamentary Affairs,0.5,,
2206421,0,paid statutory holidays legislation,Social Policy,0.0,,
2206421,1,private member's bill introduction,Parliamentary Affairs,0.25,,
2206421,2,labour legislation and bargaining rights,Social Policy,0.0,,
2206421,3,federal civil servants bargaining rights and minimum wage,Social Policy,0.0,,
2206421,4,"revision of labour code, maximum hours of work",Social Policy,0.0,,
2206421,5,job creation and labour legislation,Social Policy,0.1,,
2206421,6,economic effects of bill on shipping and hospitals,Trade & Industry,0.0,,
2206421,7,provincial labour standards holiday pay exceptions,Social Policy,0.0,,
2206421,8,statutory holiday pay rates,Social Policy,0.0,,
2206421,9,punitive pay for statutory holidays,Social Policy,0.0,,
2206460,0,Canadian armed forces nuclear role in NATO,Foreign Affairs & Defence,0.25,,
2206471,0,defence policy discussion,Foreign Affairs & Defence,0.25,,
2206471,1,defence policy review,Foreign Affairs & Defence,0.0,,
2206513,0,Minister of National Defence's report,Foreign Affairs & Defence,0.25,,
2206513,1,defence committee mandate and party policies,Foreign Affairs & Defence,0.5,,
2206598,0,restrictive trade practices commission sugar industry,Trade & Industry,0.0,,
2206610,0,Canada's contribution to UN peace keeping,Foreign Affairs & Defence,0.0,,
2206625,0,unemployment insurance for Canadian lumbermen,Social Policy,0.0,,
